new,host,a,cname,soa,txt,status_code,ns,aaaa,cdn,cdn-name,caa,mx
[x],access-bundles.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],access-dummy-213-49.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],access-ed1swvpn02-dmz.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],access-private.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],access-status.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],access-videovpndebug-wwwm-exchangedns.d5.eff.org,"173.239.79.211, 173.239.79.201, 138.68.29.57, 173.239.79.197",priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,"ns2.eff.org, ns1.eff.org, ns4.eff.org",,,,,
[x],access-vpsmeet-clients.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessboost.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accesscache-accountauthvpn.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessdb2.d5.eff.org,"173.239.79.201, 138.68.29.57, 173.239.79.197",priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,"ns4.eff.org, ns1.eff.org, ns2.eff.org",,,,,
[x],accessfms2.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessforum.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessinfo.d5.eff.org,"173.239.79.211, 173.239.79.201, 138.68.29.57, 173.239.79.197",priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,"ns2.eff.org, ns1.eff.org, ns4.eff.org",,,,,
[x],accesslabs7-9.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessmaark.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessns.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accesspc20.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessroot.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],accessvipmirrorb2bmy-oceania.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],account-b2bmy-oceania.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],account-dbmscorporate.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],account-helpdesk-assets-postmanbackups-www-test.d5.eff.org,,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],account-jenkins-statusportalstatus-db2-corp.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],account-mijn-new-corp.d5.eff.org,,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
[x],account-monitorpostgresmx.d5.eff.org,173.239.79.211,priv.365m.eff.org,"ns1.eff.org, hostmaster.eff.org",v=spf1 a -all,NOERROR,,,,,,
