new,host,a,soa,ns,status_code,txt,cdn,cdn-name,cname,mx,aaaa,caa,has_internal_ips,internal_ips
[x],bgc-qa-emptor.cr.satellite.superpal.io,"18.210.25.187, 3.211.194.231, 3.224.37.42","ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/integrations-cr/bgc-qa-emptor",,,,,,,,
[x],blog.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],bouncer-brands-admin.superpal.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],brandcenter.cornershopapp.com,"104.17.236.82, 104.16.239.58","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],brandcenter.superpal.com,"104.16.242.93, 104.18.96.77","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],buenaonda.whitelabel.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],ca-faq.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],catalog-integrations.cornershop.io,,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],catalog-review.cornershopapp.com,"104.17.236.82, 104.16.239.58","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],catalog.superpal.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],catalog.superpal.io,,"ns-1670.awsdns-16.co.uk, awsdns-hostmaster.amazon.com","ns-1178.awsdns-19.org, ns-1670.awsdns-16.co.uk, ns-508.awsdns-63.com, ns-539.awsdns-03.net",NOERROR,"heritage=external-dns,external-dns/owner=cs-dev-ext,external-dns/resource=ingress/cornershop-qa-vpn-keygen/cornershop-vpn-keygen-infra",,,,,,,,
[x],cdnjs.cornershopapp.com,"104.17.236.82, 104.16.239.58","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
