new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],wee.bbc.com,,,,NOERROR,,,,,,,,,
[x],workspace.bbc.com,"18.194.144.26, 3.121.121.155","6667.72060710036701184.h.p.zpa-app.net, exporter.gslb.prod.zpath.net, fra5.exporter.gslb.prod.zpath.net, zpath-prod-exporter-e79ea3db1186c603.elb.eu-central-1.amazonaws.com","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],world.stage.bbc.com,"212.58.244.141, 212.58.246.159",,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],wws.bbc.com,"212.58.249.207, 212.58.244.210","bogons.bbc.co.uk, virtuals.live.bbc.co.uk, virtuals.live.bbc.co.uk.pri.bbc.co.uk","dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],www.bbc.com,146.75.120.81,"www.bbc.com.pri.bbc.com, bbc.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],www.int.bbc.com,"18.202.159.76, 18.202.159.84, 18.202.161.242","www.bbc.com.europe-west-1.live-int.gtm-edge.e9fb45cfcc47b85b.xhst.bbci.co.uk, gtmliveint-eu-w-1nlbwwwcom-4ac171b630b2c961.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.shop.bbc.com,"212.58.244.210, 212.58.249.207","virtuals.live.bbc.co.uk, virtuals.live.bbc.co.uk.pri.bbc.co.uk","dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],www.stage.bbc.com,199.232.36.82,"www.stage.bbc.com.pri.bbc.com, bbc-stage.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],www.store.bbc.com,"212.58.244.129, 212.58.249.206","virtuals.live.bbc.co.uk, virtuals.live.bbc.co.uk.pri.bbc.co.uk","dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],www.test.bbc.com,"34.241.99.133, 34.250.184.253, 34.247.133.95","www.bbc.com.europe-west-1.live-test.gtm-edge.e9fb45cfcc47b85b.xhst.bbci.co.uk, gtmlivetest-eu-w-1nlbwwwcom-7f23465adbe32052.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],xproxy.api.bbc.com,,xproxy.gnl-live.bbcverticals.com,"ns-223.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],xproxy.int.api.bbc.com,,xproxy.gnl-int.bbcverticals.com,,NOERROR,True,cloudfront,,,,,,,
[x],xproxy.stage.api.bbc.com,"65.9.55.17, 65.9.55.111, 65.9.55.93, 65.9.55.6",xproxy.gnl-stage.bbcverticals.com,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
