new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cdn,cdn-name,cname,mx,txt,caa,aaaa
[x],login.account.rakuten.com,133.237.108.94,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,"release-public-idlite-api.gslb.rdcnw.net, lb-133-237-108-94.lbaas.jpe2b.rdcnw.net",,,,
[x],logistics.rakuten.com,203.190.58.50,,NOERROR,,,,,,,,,,
[x],lt1-static.rakuten.com,"23.50.57.48, 23.50.57.43","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,"san2.ebatescanada.com.edgekey-staging.net, e26088.a.akamaiedge-staging.net",,,,
[x],lt2-static.rakuten.com,"23.50.57.48, 23.50.57.43","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,"san2.ebatescanada.com.edgekey-staging.net, e26088.a.akamaiedge-staging.net",,,,
[x],lt3-static.rakuten.com,"23.50.57.48, 23.50.57.43","n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,"san2.ebatescanada.com.edgekey-staging.net, e26088.a.akamaiedge-staging.net",,,,
[x],lt3-www.rakuten.com,104.107.135.65,"n0a.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,"sansecure.rakuten.com.edgekey-staging.net, e6874.a.akamaiedge-staging.net",,,,
[x],m.beta.rakuten.com,209.67.181.31,,NOERROR,,,,,,,,,,
[x],m.messages.rakuten.com,,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,ebates.mx.e.sparkpost.com,v=spf1 exists:%{i}._spf.sparkpostmail.com ~all,,
[x],m.rakuten.com,,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.biz, edns4.ultradns.com, edns4.ultradns.net, edns4.ultradns.org",,,,,,a502969.mx.mailhop.org,v=spf1 include:outbound.mailhop.org include:_spf.messagegears.net include:mail.zendesk.com include:spf.protection.outlook.com ~all,,
[x],mail.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,"NN/F2FL+u0AmDkndfAPpd6ShFApYiIk0TAitUovcfdTrmnZsPYRm8Xq+00q0V20bwcf8cWKfJwVqjyU2M58gOg==, apple-domain-verification=IOS4EQASeDqkcUOt, apple-domain-verification=mSll09p1SEQcrEoM, v=spf1 include:spf.protection.outlook.com include:spf01.rakuten.co.jp include:spf02.rakuten.co.jp include:spf03.rakuten.co.jp include:rnmk.com ~all",,
[x],manage.travel.rakuten.com,104.91.49.201,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"manage.travel.rakuten.com.edgekey.net, e16215.a.akamaiedge.net",,,,
[x],marketing.rakuten.com,192.0.66.2,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,"dns1.p09.nsone.net, dns2.p09.nsone.net, dns3.p09.nsone.net, dns4.p09.nsone.net",,,,,,,,,
[x],merchantcentral.global.rakuten.com,34.107.161.179,"ns-cloud-e1.googledomains.com, hostmaster.linkshare.com",NOERROR,,,,True,google,merchantcentral.rcprakuten.com,,,,
[x],message.insight.rakuten.com,133.237.63.62,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],messages.rakuten.com,,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.biz, edns4.ultradns.com, edns4.ultradns.net, edns4.ultradns.org",,,,,,,,,
[x],mi.emails.rakuten.com,"13.32.27.72, 13.32.27.75, 13.32.27.8, 13.32.27.68","ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-58.awsdns-07.com, ns-898.awsdns-48.net, ns-1155.awsdns-16.org, ns-1556.awsdns-02.co.uk",,,True,cloudfront,d24u276eohivhq.cloudfront.net,,,,
[x],mta.card.newsletter.rakuten.com,198.245.85.139,,NOERROR,,,,,,,,,,
[x],mta.marketplace.emails.rakuten.com,198.245.94.50,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta.newsletter.fr.shopping.rakuten.com,136.147.177.40,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],mta03-130.m.rakuten.com,52.200.59.130,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-131.m.rakuten.com,52.200.59.131,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-132.m.rakuten.com,52.200.59.132,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.biz, edns4.ultradns.org, edns4.ultradns.com, edns4.ultradns.net",,,,,,,,,
[x],mta03-50.m.rakuten.com,,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-51.m.rakuten.com,52.200.59.51,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-52.m.rakuten.com,52.200.59.52,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-53.m.rakuten.com,52.200.59.53,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.biz, edns4.ultradns.org, edns4.ultradns.com, edns4.ultradns.net",,,,,,,,,
[x],mta03-54.m.rakuten.com,52.200.59.54,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,"edns4.ultradns.biz, edns4.ultradns.org, edns4.ultradns.com, edns4.ultradns.net",,,,,,,,,
