new,host,a,soa,status_code,mx,ns,txt,cname,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],api.emailscore.lanternpay.com,"13.238.100.218, 13.210.38.184, 52.64.236.98","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.emailscore.plat-qa.test.lanternpay.com,"13.54.239.186, 52.65.73.152, 52.65.197.159","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.emailscore.sandbox.lanternpay.com,"54.252.59.249, 54.253.233.246, 3.105.31.89","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.emailscore.tac.lanternpay.com,"3.24.7.203, 13.54.229.169, 13.238.7.159","ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.filetransfers.lanternpay.com,"52.64.236.98, 13.210.38.184, 13.238.100.218","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.filetransfers.plat-qa.test.lanternpay.com,"52.65.73.152, 13.54.239.186, 52.65.197.159","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.filetransfers.sandbox.lanternpay.com,"54.253.233.246, 3.105.31.89, 54.252.59.249","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.hbf.lanternpay.com,"13.210.38.184, 13.238.100.218, 52.64.236.98","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.hbf.plat-qa.test.lanternpay.com,"52.65.73.152, 52.65.197.159, 13.54.239.186","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.hicaps.integration.test.lanternpay.com,"54.253.96.219, 3.105.58.7, 54.79.95.34","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.hicaps.plat-qa.test.lanternpay.com,"13.54.239.186, 52.65.197.159, 52.65.73.152","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.hicaps.sandbox.lanternpay.com,"3.105.31.89, 54.253.233.246, 54.252.59.249","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.items.integration.test.lanternpay.com,"54.79.95.34, 54.253.96.219, 3.105.58.7","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.items.lanternpay.com,"52.64.236.98, 13.238.100.218, 13.210.38.184","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1359.awsdns-41.org, ns-1707.awsdns-21.co.uk, ns-97.awsdns-12.com, ns-992.awsdns-60.net",,,,,,,,
[x],api.items.plat-qa.test.lanternpay.com,"52.65.197.159, 13.54.239.186, 52.65.73.152","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.items.sandbox.lanternpay.com,"54.252.59.249, 54.253.233.246, 3.105.31.89","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.itops-qa.test.lanternpay.com,,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.jbwere.com.au,23.52.52.226,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"my.jbwere.com.au.edgekey.net, e8021.x.akamaiedge.net",,,,,,
[x],api.lanternpay.com,"52.63.210.23, 13.211.108.146, 3.25.12.96","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.medicare.lanternpay.com,"13.210.38.184, 52.64.236.98, 13.238.100.218","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.medicare.plat-qa.test.lanternpay.com,"13.54.239.186, 52.65.73.152, 52.65.197.159","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.ndia.integration.test.lanternpay.com,"3.105.58.7, 54.253.96.219, 54.79.95.34","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
