new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx
,ovo.id,"104.17.57.20, 104.17.58.20","ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,"ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,,"Kt5QG5V0=8d6a1f22e6670f2b3e40e8e48655209b, apple-domain-verification=Ovl5Nech8DiYIq0y, atlassian-domain-verification=gsSRmDk2DMLG6bkudL81lBSaJ5oRd3m4GQ2X8pR88yBQ9yp1Nwd34IHxMQsUoBTa, docusign=a6afdcef-b22b-46b8-b32d-69f91d815699, google-site-verification=9XJS0MdLFlyYRLyMrHHJ4BsENrj-hf0h59qFW3I1mFE, google-site-verification=nzIXh6OTuc6KTtdYbb0B4yGLGB9-hxepUhg9u5aPvzo, v=spf1 include:_spf.google.com include:mail.zendesk.com include:spf.mandrillapp.com include:_spfblocks.excellent.co.id include:_spf.ovo.id include:_spf_knowbe4.ovo.id ~all",
,pay.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,pay.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,payment.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,payroll.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,payroll.ovo.id.cdn.cloudflare.net,,,,,,,,
,pgc-horizongcsglb-001.ovo.id,34.120.183.23,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,,,,,
,pillar.ovo.id,139.255.74.250,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,pos.ovo.id,139.255.74.211,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,postcode.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,prod-web.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,prometheus.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,prometheus.taralite.com,172.31.235.170,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,172.31.235.170,,
,qa1.taralite.com,,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,google-site-verification=VWJNG3nP22JYhFzvWogilAvQgwExc8TYzgBPMF9Dtw4,
,ravier.ovo.id,"34.234.179.142, 35.172.243.117, 54.146.111.211","ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,c-cf44e8712b0521f80174bbefee01039a.frontify.com,,,,,,,,
,risk-grwap.cp6.ovo.id,34.107.250.177,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,,,,
,risk-ui.aws.ovo.id,,"ns-148.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,dlgbvygjs6ed3.cloudfront.net,True,cloudfront,,,,,,
,risk-ui.cp6.ovo.id,34.107.250.177,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,,,,
,risk.ovo.id,103.85.66.59,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
