new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
,mida.ai.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,midc.mi.com,"124.251.34.42, 183.84.7.4, 183.84.7.187, 120.133.33.137",,extranet-alllines-pub-c3-c4.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,middle.search.miui.com,"183.84.6.160, 124.251.100.187",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,midvo.men.mi.com,"3.127.227.23, 18.194.222.150",,"midvo.men.mi.com.v.mi-dun.com, cname-app-com.w.mi-dun.com, aws-fr-sec-midun-nlb-8db12722d067e399.elb.eu-central-1.amazonaws.com","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,mierapp.sec.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns4.dnsv5.com, ns3.dnsv5.com",,,,
,migc.activity.g.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mihome.up.video.inf.miui.com,163.171.160.195,,mihome.up.video.inf.miui.com.wsdvs.com,"dns1.wsdvs.info, webmaster.glb0.lxdns.com",NOERROR,,,,,,,
,miiot.men.mi.com,120.92.18.106,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,miliaosdk.g.mi.com,123.125.102.148,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,milink-voipsdk.enttv.xiaomi.com,"124.251.58.56, 183.84.5.201",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mina.mi.com,"183.84.5.170, 124.251.58.58",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,minos.a.xiaomi.com,120.134.33.178,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,miot.10046.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,miprometheus.men.mi.com,47.74.175.228,,"miprometheus.men.mi.com.v.mi-dun.com, cname-app-com.w.mi-dun.com","ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mis.migc.xiaomi.com,"183.84.6.13, 124.251.58.174",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,miservice.comm.miui.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mishop.pandora.xiaomi.com,43.224.247.26,,coml7.pandora.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,misys.api.comm.miui.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mitob-cname-c34.b.mi.com,124.251.100.103,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,mitukidsl7.pandora.xiaomi.com,"124.251.101.50, 183.84.5.15",240e:929:1:3f::e,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mitv.tracking.india.miui.com,20.157.18.58,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mitv.tracking.intl.miui.com,"8.219.246.161, 8.219.247.27, 47.241.97.200",,matrix-pri-alisgp.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mitv.tracking.miui.com,20.157.18.58,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mitv.tracking.rus.miui.com,20.47.97.238,,extranet-ipv4-pub-azams.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,miui-l7-data-other-c3.pt.miui.com,124.251.100.113,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
