new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,caa,ns
[x],acc.login.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc.logingov.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc.mijnizzzorgverzekering.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc.milo.vgz.nl,52.179.188.149,"lively-glacier-0a8266903.azurestaticapps.net, azurestaticapps.trafficmanager.net, msha-eus2-0.staticsites-prod-eastus2.p.azurewebsites.net, waws-prod-bn1-b109eee7.sip.p.azurewebsites.windows.net, waws-prod-bn1-b109eee7.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,
[x],acc.tips.vgz.nl,52.136.248.184,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,True,azure,,,,,
[x],acc.xconnect.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc.zorginkoop.vgz.nl,20.93.190.143,"app49039.prod.cudawaas.com, waas-prod-app-efbffd159ab49ca7fd2e2c0c8f5ca795.trafficmanager.net, waasprod-app-d933fc87c715cf748f6fe622dffb55a8.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,
[x],acc7.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc81117.ip.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],accadvo.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],accb2b.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],accelerator.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],accept-app.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],accept-stagingrow.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acceptatie-vpn.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acceptservicesjiratunnel-mx.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],access-acc-acc-backupsauth-antiviruspre.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],access-cdn-euw-meet-git.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],access-conference-board.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],access-dev.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
