new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa
,reaper.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,render.caffeine.tv,142.250.186.83,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:830::2013,,,,
,reyes-v5.prod.caffeine.tv,,,,NOERROR,,,,,,,
,roadhog.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,rtcdn.caffeine.tv,,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,dc76vkk1pvfho7av8fdp16rn94,,"ns-292.awsdns-36.com, ns-785.awsdns-34.net, ns-1515.awsdns-61.org, ns-2007.awsdns-58.co.uk",
,scim.caffeine.tv,34.171.4.35,,"ns-83.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,
,sftp.caffeine.tv,"52.32.239.196, 44.224.154.20, 34.208.158.112",s-86fd12f6de7949db9.server.transfer.us-west-2.amazonaws.com,"ns-1721.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,snappy-images.caffeine.tv,"18.160.46.9, 18.160.46.27, 18.160.46.46, 18.160.46.63, 205.251.192.121, 205.251.194.22, 205.251.196.209, 205.251.199.19",d2gd8pskfbnzfl.cloudfront.net,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:24f3:3a00:1d:2ff6:8840:93a1, 2600:9000:24f3:4800:1d:2ff6:8840:93a1, 2600:9000:24f3:a600:1d:2ff6:8840:93a1, 2600:9000:24f3:a400:1d:2ff6:8840:93a1, 2600:9000:24f3:9c00:1d:2ff6:8840:93a1, 2600:9000:24f3:a00:1d:2ff6:8840:93a1, 2600:9000:24f3:9600:1d:2ff6:8840:93a1, 2600:9000:24f3:8a00:1d:2ff6:8840:93a1",,,"ns-1233.awsdns-26.org, ns-1811.awsdns-34.co.uk, ns-121.awsdns-15.com, ns-534.awsdns-02.net",
,social-event-publisher.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,stage.caffeine.tv,,,"ns-581.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1306.awsdns-35.org, ns-1544.awsdns-01.co.uk, ns-212.awsdns-26.com, ns-581.awsdns-08.net",
,staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"_globalsign-domain-verification=f-B_7ErtvSe_2e1SkhSsTab6DQA-AVd2vcvY3gqskQ, loaderio=f761c4fb233daa69df1f907ae44f4e4e",,"ns-1328.awsdns-38.org, ns-1839.awsdns-37.co.uk, ns-374.awsdns-46.com, ns-690.awsdns-22.net",
,static.caffeine.tv,"13.249.9.88, 13.249.9.6, 13.249.9.14, 13.249.9.106",d1kduh7lcmw674.cloudfront.net,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2360:a400:c:e8df:5800:93a1, 2600:9000:2360:a600:c:e8df:5800:93a1, 2600:9000:2360:5a00:c:e8df:5800:93a1, 2600:9000:2360:1600:c:e8df:5800:93a1, 2600:9000:2360:5800:c:e8df:5800:93a1, 2600:9000:2360:6800:c:e8df:5800:93a1, 2600:9000:2360:da00:c:e8df:5800:93a1, 2600:9000:2360:c000:c:e8df:5800:93a1",,,"ns-1747.awsdns-26.co.uk, ns-1411.awsdns-48.org, ns-1004.awsdns-61.net, ns-427.awsdns-53.com",
,static.staging.caffeine.tv,151.101.246.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,tomnook.caffeine.tv,142.250.184.211,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:830::2013,,,,
,tomnook.staging.caffeine.tv,142.250.185.115,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:80f::2013,,,,
,traefik.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,"ns-1328.awsdns-38.org, ns-1839.awsdns-37.co.uk, ns-374.awsdns-46.com, ns-690.awsdns-22.net",
,useast1.rtcdn.caffeine.tv,54.209.135.18,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
