new,host,a,aaaa,soa,txt,status_code,cdn,cdn-name,mx,cname,ns,caa
[x],synergix-enterprise.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],test.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],torquetechnicalcomputertraining.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],totalcybersolutionsllc.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],try.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],url7581.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],vesta.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],vinsys.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],wissen.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],www.academia.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.ace.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.aspen.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.cert.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.ciso.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],www.drm.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.foundation.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.iclass.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],www.ilabs.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],www.portal.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],zendesk2.eccouncil.org,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,mail.zendesk.com,mail2.zendesk.com,,
