new,host,a,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],autodiscover.payoneer.com,"52.97.229.216, 52.98.229.152, 52.98.240.120","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0e:865::8, 2603:1026:c0e:86b::8, 2603:1026:c0e:80f::8",,,
[x],birthright.payoneer.com,35.190.33.81,birthright-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],birthright.sandbox.payoneer.com,130.211.36.192,birthright-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],blog.payoneer.com,35.190.33.81,blog-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,v=spf1 ip4:35.161.44.93 -all,,,,
[x],bounce.email.payoneer.com,74.121.50.9,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,bounce.email.payoneer.com,v=spf1 a ip4:192.156.219.94 ip4:74.112.64.64 -all,,,,
[x],bounce.payoneer.com,192.28.148.201,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,bounce.payoneer.com,v=spf1 include:mktomail.com ~all,,,,
[x],brand.payoneer.com,"35.157.141.16, 18.157.196.6, 18.198.107.83",c-eddaa03159d9c70ca0c208a763f4e131.frontify.com,"ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bypaynr-expr-e.payoneer.com,94.188.160.170,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],callbackapi.payoneer.com,35.190.33.81,callbackapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],callbackapi.sandbox.payoneer.com,,callbackapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],careers.payoneer.com,35.190.33.81,careers-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,,,
[x],cas-b.payoneer.com,94.188.139.21,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],cas.payoneer.com,193.104.115.5,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],casemanagement.qa.payoneer.com,192.168.231.242,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,True,192.168.231.242
[x],checkout.payoneer.com,35.190.33.81,checkout-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],checkoutdocs.payoneer.com,35.190.33.81,checkoutdocs-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],community.payoneer.com,"162.159.128.79, 162.159.138.78","payoneer.vanillacommunities.com, site-5021998.onvanilla.net","guss.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"2606:4700:7::a29f:8a4e, 2606:4700:7::a29f:804f",,,
[x],contact.payoneer.com,52.184.251.130,mkto-i0191.com,"ns1.marketo.com, ops.localhost",NOERROR,True,azure,"ns1.marketo.com, ns3.marketo.co.uk, ns2.mktdns.com",,v=spf1 -all,,,,
[x],crldp.payoneer.com,193.104.115.167,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],custhelp.payoneer.com,138.1.113.163,payoneer.custhelp.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,True,oracle,,,,,,,
[x],customerfiles.payoneer.com,"108.156.46.93, 108.156.46.30, 108.156.46.125, 108.156.46.108",d3ep8j17smixrj.cloudfront.net,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1108.awsdns-10.org, ns-1875.awsdns-42.co.uk, ns-41.awsdns-05.com, ns-771.awsdns-32.net",,,,,,
[x],customerfiles.qa.payoneer.com,"143.204.215.108, 143.204.215.124, 143.204.215.128, 143.204.215.129",d3ctvgtxgd49n3.cloudfront.net,"ns-1687.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1112.awsdns-11.org, ns-1687.awsdns-18.co.uk, ns-554.awsdns-05.net, ns-68.awsdns-08.com",,,,,,
[x],customerfiles.sandbox.payoneer.com,"108.138.217.38, 108.138.217.66, 108.138.217.15, 108.138.217.17",dr8wfnbuyl160.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1209.awsdns-23.org, ns-1801.awsdns-33.co.uk, ns-229.awsdns-28.com, ns-916.awsdns-50.net",,,,,,
[x],developer.payoneer.com,35.190.33.81,developer-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],developer.sandbox.payoneer.com,130.211.36.192,developer-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],discover.payoneer.com,35.190.33.81,discover-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],docs.payoneer.com,35.190.33.81,docs-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],downloads.payoneer.com,35.190.33.81,downloads-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],downloads.sandbox.payoneer.com,130.211.36.192,fire-gcp-lb-192.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
