new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],canonctd.cusa.canon.com,146.184.152.68,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],canonpartnernet.cusa.canon.com,146.184.161.40,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],canonsiportal.cusa.canon.com,"2.16.187.17, 2.16.187.146","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:1700:11::b856:6785, 2a02:26f0:1700:11::b856:6794","canonsiportal.cusa.canon.com.00d30000000mtlneae.live.siteforce.com, 75530.communities.salesforce.cdn.edgekey.net, e29986.dsca.akamaiedge.net",,,,,,
[x],carepak.canon.com,146.184.170.28,"01.dnsv.jp, hostmaster.dnsv.jp",NOERROR,,,,,,,,,,
[x],carepak.cusa.canon.com,146.184.163.45,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],carepakqa.cusa.canon.com,"146.184.163.46, 146.184.162.24, 146.184.162.25, 146.184.152.101, 146.184.152.100","mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"svadns3.cusa.canon.com, nydns08.cusa.canon.com, nydns07.cusa.canon.com, svadns4.cusa.canon.com",,,,,
[x],cbr.p.esbprd.cusa.canon.com,146.184.170.24,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cdf-admin.cusa.canon.com,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com",,,,,
[x],cdf.dt-ext.vpn.ciis.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,"mailgrd16.cusa.canon.com, mailgrd15.cusa.canon.com, mailgrd19.cusa.canon.com, mailgrd14.cusa.canon.com",
[x],cdf.dt-qa.vpn.ciis.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,"mailgrd14.cusa.canon.com, mailgrd16.cusa.canon.com, mailgrd15.cusa.canon.com, mailgrd19.cusa.canon.com",
[x],cdf.dt-staging.ciis.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"nydns07.cusa.canon.com, svadns4.cusa.canon.com, nydns08.cusa.canon.com, svadns3.cusa.canon.com",,,,"mailgrd16.cusa.canon.com, mailgrd15.cusa.canon.com, mailgrd19.cusa.canon.com, mailgrd14.cusa.canon.com",
[x],cdnotify.usa.canon.com,146.184.152.88,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cdnotifyqa.usa.canon.com,146.184.161.143,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cdnotifytest.usa.canon.com,146.184.155.74,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cdtesting.cusa.canon.com,146.184.6.170,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],ces-show.usa.canon.com,146.184.152.124,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],ces.cusa.canon.com,146.184.165.47,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
