new,host,a,ptr,soa,ns,txt,status_code,cname,mx,has_internal_ips,internal_ips,cdn,cdn-name,caa
[x],000-422oauth1368194175.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-422oauth70-487oauth.nl-centralafrica.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-422oauth70-487oauth.nl-uk.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587-files-5-level.cnosf.deezer.com,,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587-files2014-09-13.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-5873153-55-7.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587e-cdnt-proxy-2-122.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587e-cdnt-proxy-22020.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",,NOERROR,,,,,,,
[x],000-587oauth-drp-www.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587oauth-staging-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587oauth20100130.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587oauthoauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587oauthoauth.nl-uk.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com",,v=spf1 a -all,NOERROR,,,,,,,
[x],000-587servicestaging-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587staging-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-587staging-files5-level.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-0readme.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-12inch-staging-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-28-lazy-rivers.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-28-lazy-rivers.nl-uk.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-drp-pipe122.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com",,v=spf1 a -all,NOERROR,,,,,,,
