new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,has_internal_ips,internal_ips,txt,mx,caa
[x],admin-staging.doctolib.it,172.65.222.138,2606:4700:90:0:6a09:de47:9b9e:ed55,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.it, 99680ed054244c63be96a1b7dc1443df.pacloudflare.com",,,,,,
[x],adminium-production.doctolib.fr,172.65.248.213,2606:4700:90:0:3697:4d05:99b8:dc3a,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.fr, 0135052461d0410b8e4b124e9d0927e0.pacloudflare.com",,,,,,
[x],adminium-staging2.doctolib.de,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],adp.doctolib.com,172.65.196.33,2606:4700:90:0:f3d3:2b0c:af9b:2bbe,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.com, 9d293f60cfa24c928e66aef97a3e0aaa.pacloudflare.com",,,,,,
[x],agenda.doctolib.com,"104.16.133.133, 104.16.132.133","2606:4700::6810:8485, 2606:4700::6810:8585","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],airflow-production.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api-dev.doctolib.de,"104.18.39.152, 172.64.148.104","2606:4700:4400::6812:2798, 2606:4700:4400::ac40:9468","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],api-interf.doctolib.net,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api-legacy-interf.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api-legacy.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api-preprod.doctolib.de,"52.28.126.142, 18.197.185.205",,"ns-905.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,public-elb-preprod.doctolib.tech,,,,,,
[x],api-sas-staging.doctolib.fr,172.65.216.187,2606:4700:90:0:27b:8cb0:7d6:d616,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.fr, adb19b6f6f50413f85f16e9f8e4eab77.pacloudflare.com",,,,,,
[x],api-sftp.doctolib.fr,172.65.215.115,2606:4700:90:0:3403:64f5:5ca4:ed44,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-sftp.doctolib.fr, d4a1ac752aae499eb0033a34463b3328.pacloudflare.com",,,,,,
[x],api-staging.doctolib.de,172.65.226.33,2606:4700:90:0:580a:7f69:f5e9:bfcd,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.de, 3056ef016c2e47e89858dacb86999c6b.pacloudflare.com",,,,,,
[x],api.doctolib.de,172.65.251.247,2606:4700:90:0:8276:a1b7:9b67:6531,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.de, 1e87368e721d4d36b8aae2fdb8b0d37a.pacloudflare.com",,,,,,
[x],app-staging.doctolib.com,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
