new,host,a,soa,status_code,cname,caa,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips
,skyhighsecurity.com,"141.193.213.21, 141.193.213.20","ns-1035.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1035.awsdns-01.org, ns-264.awsdns-33.com, ns-693.awsdns-22.net, ns-1947.awsdns-51.co.uk","primary.us.email.fireeyecloud.com, alt1.us.email.fireeyecloud.com, alt2.us.email.fireeyecloud.com, alt3.us.email.fireeyecloud.com","google-site-verification=eqJBt4mF4eqPfpuS6qGPtqOIbBFzzoUfRSZRJTPs-DI, atlassian-domain-verification=YQTMzt2iNJl/cxsaxZpJp7IQg9aqhA/Cty6aNTr1WEmIx9Zsj21ExKa0XGVTclEA, vmware-cloud-verification-463a3b65-a915-478e-bf71-e322b38807c4, MS=ms49268076, facebook-domain-verification=slili8ipauvi91d5hhrnmtk6gofqqv, v=spf1 include:_spf.fireeyecloud.com ip4:160.34.15.16/28 include:_spf.qualtrics.com include:us._netblocks.mimecast.com include:spf.protection.outlook.com include:mktomail.com ~all, adobe-idp-site-verification=dd8712c2c27678d1e272eb3b29329e44895d33da806dc2bf5a1ed43e538b4968, pardot346132=7024d0772ddc824329e544674d61b5f08dcf19cbec6cd697680d9dba9f196865, include:email.influitive.com OR ip4:192.174.90.242, pardot479502=cb3226ac90ccc2747b01369584316e630874329ca8d5c4f5d8248a33ce3ccd60, docusign=a20f8d44-2677-4731-96ba-9cfa1ca805c9, MS=ms15019799, google-site-verification=AWrKUM0ycuIV5Qke8vYQZIctVEugyvSCt9RwZssmAiA",,
,smetrics.trellix.com,"63.140.62.160, 63.140.62.164, 63.140.62.135","ns201.adobe.net, hostmaster.adobe.com",NOERROR,trellix.com.data.adobedc.net,,,,,,,,,
,sns.trellix.com,"3.215.172.219, 34.237.219.119, 3.92.120.28, 18.208.125.13, 52.54.96.194","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com",,,,,"ns-1286.awsdns-32.org, ns-1826.awsdns-36.co.uk, ns-281.awsdns-35.com, ns-844.awsdns-41.net",,,,
,soap.trellix.com,136.179.57.102,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sse-uat.skyhighsecurity.com,34.111.110.138,"ns-1035.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,,,
,ssog.trellix.com,161.69.38.141,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,ssoqa.trellix.com,136.179.56.32,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,ssostage.trellix.com,161.69.38.117,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stage-ap.etp.trellix.com,"104.18.34.211, 172.64.153.45","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,"2606:4700:4400::6812:22d3, 2606:4700:4400::ac40:992d",,,,,
,stage-ca.etp.trellix.com,"104.18.34.211, 172.64.153.45","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,"2606:4700:4400::6812:22d3, 2606:4700:4400::ac40:992d",,,,,
,stage-eu.etp.trellix.com,"172.64.153.45, 104.18.34.211","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,"2606:4700:4400::ac40:992d, 2606:4700:4400::6812:22d3",,,,,
