new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name,caa,has_internal_ips,internal_ips
[x],actie.dpgmedia.nl,"51.89.19.54, 178.33.129.44, 51.77.37.192, 178.32.47.207",,"player.qualifio.com, varnish.qualifio.com","ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,,"letsencrypt.org, digicert.com, globalsign.com",,
[x],admin.tickets.dpgmedia.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,peak.proxy.tickoweb.net,"ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,
[x],advertising.dpgmedia.be,"2.16.187.17, 2.16.187.145","2a02:26f0:7100::210:13a, 2a02:26f0:7100::210:110","dpgmedia-be-wc.edgekey.net, e29602.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],advertising.dpgmedia.nl,"99.83.132.111, 75.2.104.177",,dpgredirects.business-hosting.dpgmedia.cloud,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],backoffice-onlinerouwbericht.dpgmedia.nl,217.114.96.40,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],barter.dpgmedia.nl,"99.83.132.111, 75.2.104.177",,dpgredirects.business-hosting.dpgmedia.cloud,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],belastingsmarathon-hln.tickets.dpgmedia.be,,2a00:6ec0:101:1:0:98:0:1,peak.proxy.tickoweb.net,"ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,
[x],bereik.dpgmedia.nl,"2.17.100.161, 2.17.100.233","2a02:26f0:ab00::5c7a:d710, 2a02:26f0:ab00::5c7a:d723","dpgmedia-nl-wc.edgekey.net, e27429.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],bi.dpgmedia.nl,10.222.215.107,,qliksense-prod.salesbi.persgroep.cloud,"ns-34.awsdns-04.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,10.222.215.107
[x],brancherapporten.dpgmedia.nl,"23.213.161.207, 23.213.161.209","2a02:26f0:64::214:846d, 2a02:26f0:64::214:8497","dpgmedia-nl-wc.edgekey.net, e27429.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
