new,host,a,soa,txt,status_code,cname,mx,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],global.zgold-qa.razer.com,"35.153.121.209, 18.215.216.1, 54.159.191.114, 52.45.94.28","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,zgq-alb-wan-api-288467637.us-east-1.elb.amazonaws.com,,,,,,,,
[x],globalapi.gold-sandbox.razer.com,"34.203.118.148, 52.73.222.58, 100.25.254.133, 34.195.165.30","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],globalapi.zgold-qa.razer.com,"35.153.121.209, 52.45.94.28, 54.159.191.114, 18.215.216.1","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],gold.razer.com,"96.16.54.139, 96.16.54.138","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"gold.razer.com-v1.edgekey.net, e28040.dscb.akamaiedge.net",,,,,,,,
[x],grafana.gold.razer.com,"34.232.24.20, 3.211.230.133, 18.209.75.165, 54.91.121.102","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,zgp-alb-wan-office-914054617.us-east-1.elb.amazonaws.com,,,,,,,,
[x],icons.razer.com,13.52.190.184,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],id.razer.com,"23.32.238.99, 23.32.238.115","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"id.razer.com-v3.edgesuite.net, a775.dscd.akamai.net",,,,"2a02:26f0:64::210:6b32, 2a02:26f0:64::210:6b4b",,,,
[x],ingress.phoenix.razer.com,20.7.158.129,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,,,,,,
[x],insider-staging.razer.com,"18.154.63.101, 18.154.63.112, 18.154.63.98, 18.154.63.25","ns-348.awsdns-43.com, awsdns-hostmaster.amazon.com",,NOERROR,"razer-us-community.almostinsided.com, d14qcfozv7owvi.cloudfront.net",,True,cloudfront,"2600:9000:243d:da00:c:a4cb:db80:93a1, 2600:9000:243d:c00:c:a4cb:db80:93a1, 2600:9000:243d:1a00:c:a4cb:db80:93a1, 2600:9000:243d:2a00:c:a4cb:db80:93a1, 2600:9000:243d:3000:c:a4cb:db80:93a1, 2600:9000:243d:de00:c:a4cb:db80:93a1, 2600:9000:243d:2c00:c:a4cb:db80:93a1, 2600:9000:243d:1800:c:a4cb:db80:93a1","ns-1257.awsdns-29.org, ns-1927.awsdns-48.co.uk, ns-348.awsdns-43.com, ns-875.awsdns-45.net",,,
[x],insider.razer.com,,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"razer-us-community.insided.com, d18kduripz1fvi.cloudfront.net",,True,cloudfront,"2600:9000:2315:4000:18:cb7b:6780:93a1, 2600:9000:2315:4a00:18:cb7b:6780:93a1, 2600:9000:2315:1000:18:cb7b:6780:93a1, 2600:9000:2315:8800:18:cb7b:6780:93a1, 2600:9000:2315:e000:18:cb7b:6780:93a1, 2600:9000:2315:6400:18:cb7b:6780:93a1, 2600:9000:2315:f200:18:cb7b:6780:93a1, 2600:9000:2315:5600:18:cb7b:6780:93a1","ns-192.awsdns-24.com, ns-582.awsdns-08.net, ns-1509.awsdns-60.org, ns-1728.awsdns-24.co.uk",,,
[x],investor.razer.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],jenkins.phoenix.razer.com,20.7.158.129,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,ingress.phoenix.razer.com,,,,,,,,
[x],jp-store.razer.com,"54.168.179.188, 54.168.114.135","ns-1683.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,basecamp-frontend-prod-1348865024.ap-northeast-1.elb.amazonaws.com,,,,,,,,
[x],layout.razer.com,,"ns-455.awsdns-56.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-1342.awsdns-39.org, ns-1719.awsdns-22.co.uk, ns-455.awsdns-56.com, ns-985.awsdns-59.net",,,
[x],ldlbe.razer.com,23.227.38.65,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",ca3-629493191cfd4adea43e1b2d82fbc8f1,NOERROR,,,,,,,,,
[x],linux.razer.com,,"ns-1251.awsdns-28.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-1251.awsdns-28.org, ns-1938.awsdns-50.co.uk, ns-438.awsdns-54.com, ns-802.awsdns-36.net",,,
[x],lyncdiscover.pay.razer.com,52.112.196.45,"admin.nsatc.net, dns.level3.net",,NOERROR,webdir.online.lync.com,,,,2603:1027:0:3::e,,,,
[x],lyncdiscover.razer.com,52.112.192.14,"admin.nsatc.net, dns.level3.net",,NOERROR,webdir.online.lync.com,,,,2603:1027:0:48::21,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,,
