new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
,availabilitymonitoring.cloud.ibm.com,NOERROR,,,,,,,,,,,,
,aviv-win-prd.sl1642449.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,,,,,,,,,,
,avservice.b2b.ibm.com,NOERROR,"a1-207.akam.net, hostmaster.us-east.containers.appdomain.cloud",,169.63.82.98,,,,,,file-transfer-pr-wdc.us-east.containers.appdomain.cloud,,,
,awf.ibm.com,NOERROR,"ns033.name.cloud.ibm.com, dns.cloudflare.com",,"169.47.124.22, 169.46.89.149, 169.62.254.79",,,,,,awf.mybluemix.net,,,
,awipoktmp.pok.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,129.33.205.155,,,,,,,,,
,awm-fra-test.sl1307173.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,158.177.77.141,,,,,,,,,
,axtest.hosting.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,,,,,,,,,,
,b1.email.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",v=spf1 include:mktomail.com ~all,192.28.145.49,,,,,b1.email.ibm.com,,,,
,b19ciissi100.sagamino.japan.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,b19cirep101.sagamino.japan.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,b20acind001st.nankoh.japan.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,b23leirdb02.au.ibm.com,NOERROR,,,,,,,,,,,,
