new,host,soa,status_code,a,aaaa,cname,caa,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips
,ec.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,2.18.162.137,"2a02:26f0:1700:38e::25db, 2a02:26f0:1700:380::25db, 2a02:26f0:1700:391::25db, 2a02:26f0:1700:385::25db, 2a02:26f0:1700:386::25db","ec.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,ec.golfgalaxy.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,104.102.49.108,"2a02:26f0:1700:38e::3656, 2a02:26f0:1700:38f::3656","ec.golfgalaxy.com.edgekey.net, e13910.dscx.akamaiedge.net",,,,,,,,
,ec.publiclands.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"104.126.37.177, 104.126.37.176","2a02:26f0:3500:1b::1724:a39e, 2a02:26f0:3500:1b::1724:a384","ec.publiclands.com.edgekey.net, e132905.dscx.akamaiedge.net",,,,,,,,
,edgedocs.pages.dcsg.com,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",dsg-tech.github.io,,,,,,,,
,eem-qa.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.54,,,,,,,,,,
,eem.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.104,,,,,,,,,,
,elevate-stage.dcsg.com,"ns-1122.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,"18.244.102.105, 18.244.102.122, 18.244.102.7, 18.244.102.119","2600:9000:26df:e800:19:c052:a380:93a1, 2600:9000:26df:c800:19:c052:a380:93a1, 2600:9000:26df:bc00:19:c052:a380:93a1, 2600:9000:26df:7000:19:c052:a380:93a1, 2600:9000:26df:1200:19:c052:a380:93a1, 2600:9000:26df:9200:19:c052:a380:93a1, 2600:9000:26df:a800:19:c052:a380:93a1, 2600:9000:26df:1600:19:c052:a380:93a1","dcsg-sandbox.eightfold.ai, d2opaj3jvgzq1a.cloudfront.net",,,,,True,cloudfront,,
,elevate.dcsg.com,"ns-1122.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,"99.86.4.33, 99.86.4.89, 99.86.4.9, 99.86.4.82","2600:9000:2057:4a00:19:c052:a380:93a1, 2600:9000:2057:b800:19:c052:a380:93a1, 2600:9000:2057:9800:19:c052:a380:93a1, 2600:9000:2057:7c00:19:c052:a380:93a1, 2600:9000:2057:be00:19:c052:a380:93a1, 2600:9000:2057:1a00:19:c052:a380:93a1, 2600:9000:2057:8a00:19:c052:a380:93a1, 2600:9000:2057:7600:19:c052:a380:93a1","dcsg.eightfold.ai, d2opaj3jvgzq1a.cloudfront.net",,,,,True,cloudfront,,
,email.fieldandstreamshop.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
,engage.dickssportinggoods.com,,NOERROR,23.74.173.52,,"engage.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,engineering.pages.dcsg.com,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153",dsg-tech.github.io,"digicert.com, letsencrypt.org",,,,,,,
,enterpriseenrollment.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.110,,mymobileconfig.dcsg.com,,,,,,,,
,extpwc.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.150,,,,,,,,,,
,fieldandstreamshop.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,67.88.8.53,,,,"mxa-00228b01.gslb.pphosted.com, mxb-00228b01.gslb.pphosted.com","dns1.cscdns.net, dns2.cscdns.net","amazonses:WbHPFIG+o4XlxZZSZxWOslX+fK1lGnSBj7xTtXV+mus=, facebook-domain-verification=vlkl33k20zdqoojncrysqmp0fonyf3, google-site-verification=2zGgGYGGu2PrBSm0yt5Fih1UCfqAfKidbdCQA6B-Zzg, google-site-verification=yytbNB8sdee8x8jj0mSPAnF2sUhNJd6B-asuRGjEvZ8, v=msv1 t=A68D6B68-C805-4549-ABCF-83E92CE804DF, v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all",,,,
,fit.dickssportinggoods.com,,NOERROR,23.192.153.18,"2a02:26f0:3100:786::25db, 2a02:26f0:3100:795::25db, 2a02:26f0:3100:787::25db, 2a02:26f0:3100:790::25db, 2a02:26f0:3100:782::25db","fit.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net, e9691.dscx.akamaiedge.net.0.1.cn.akamaiedge.net",,,,,,,,
,flexplm-qa.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.208,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,flexplm-training.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.199,,,,,,,,,,
,flexplmnonmfa.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.84,,,,,,,,,,
,flexplmqa.dcsg.com,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,52.149.215.200,,"flexplmqa-dcsgcloud.msappproxy.net, e04b15c8-7a1e-4390-9b5b-28c7c205a233.tenant.runtime.msappproxy.net, cwap-nam1-runtime.routing.msappproxy.net, nam.proxy-3.appproxy.msidentity.com, www.tm.nam.proxy-3.appproxy.trafficmanager.net",,,,,True,azure,,
,flexplmtrain.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.83,,,,,,,,,,
,ftp2.dcsg.com,,NOERROR,199.30.195.160,,ftp.dcsg.com,,,,,,,,
,gamma.dickssportinggoods.com,,NOERROR,23.74.173.52,,"gamma.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,gateway-prod1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,67.88.8.61,,,,,,,,,,
,gateway-qa1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,216.1.155.61,,,,,,,,,,
,gateway.dcsg.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.6.68.173,,"gateway.dcsg.com.edgekey.net, e8115.x.akamaiedge.net",,,,,,,,
