new,host,a,soa,status_code,cname,ns,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,txt,caa,mx
[x],sin181.oob.ikarem.io,172.24.255.67,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.67,,,
[x],sin182.meraki.com,209.206.61.83,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:5e71:dff:fe25:8a83,,,,,,,
[x],sin182.oob.ikarem.io,172.24.255.68,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.68,,,
[x],sin183.meraki.com,158.115.154.251,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:116:5e71:dff:fe25:30d7,,,,,,,
[x],sin183.oob.ikarem.io,172.24.255.69,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.69,,,
[x],sin184.oob.ikarem.io,172.24.255.70,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.70,,,
[x],sin185.oob.ikarem.io,172.24.255.71,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.71,,,
[x],sin186.meraki.com,209.206.61.87,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:5e71:dff:fe24:ffea,,,,,,,
[x],sin191.oob.ikarem.io,172.24.255.73,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.73,,,
[x],sin192.meraki.com,209.206.61.93,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:5e71:dff:fec4:3f20,,,,,,,
[x],sin192.oob.ikarem.io,172.24.255.74,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.74,,,
[x],sin193.meraki.com,209.206.61.94,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:5e71:dff:fec4:3f68,,,,,,,
[x],sin193.oob.ikarem.io,172.24.255.75,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.75,,,
[x],sin194.meraki.com,209.206.62.104,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c009:100:5e71:dff:fec4:3f8c,,,,,,,
[x],sin194.oob.ikarem.io,172.24.255.76,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.76,,,
[x],sin195.meraki.com,158.115.154.250,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",2620:12f:c008:116:7e31:eff:feed:b81f,,,,,,,
[x],sin196.meraki.com,209.206.61.52,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:7e31:eff:fec1:a68c,,,,,,,
[x],sin197.oob.ikarem.io,172.24.255.99,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.99,,,
[x],sin198.oob.ikarem.io,172.24.255.88,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.88,,,
[x],sin199.meraki.com,172.24.70.14,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.70.14,,,
[x],sin199.oob.ikarem.io,172.24.255.101,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.101,,,
[x],sin200.meraki.com,172.24.70.15,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,True,172.24.70.15,,,
[x],sin200.oob.ikarem.io,172.24.255.84,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.84,,,
[x],sin201.oob.ikarem.io,172.24.255.89,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.89,,,
[x],sin202.meraki.com,172.24.70.16,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.70.16,,,
[x],sin202.oob.ikarem.io,172.24.255.98,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.98,,,
[x],sin203.meraki.com,172.24.70.17,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.70.17,,,
[x],sin204.meraki.com,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sin204.oob.ikarem.io,172.24.255.100,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.100,,,
