new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,ns,caa,mx,txt,has_internal_ips,internal_ips
[x],beta.bitdefender.com,"104.18.168.222, 104.18.169.222",bitdefender.com,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,"2606:4700::6812:a9de, 2606:4700::6812:a8de",True,cloudflare,"pdns210.ultradns.biz, pdns210.ultradns.org, pdns210.ultradns.com, pdns210.ultradns.net",,"mail.bitdefender.com, mx01.bbu.gts.mx.bitdefender.com","atlassian-sending-domain-verification=bb16ab06-4f2f-48d5-ae74-c3534e751ef9, v=spf1 include:spf.protection.outlook.com include:spf.bitdefender.com include:_spf.salesforce.com include:spf.mandrillapp.com include:_spf.atlassian.net include:spf.mindmatrix.net include:341979.spf06.hubspotemail.net ip4:208.117.49.186 ip4:3.68.129.51 ~a, ll, smartsheet-site-validation=0t4aXFYpjaINrBOxRhbxO-n3d4-VNmBs, apple-domain-verification=217f005rUdcKhBpU, atlassian-domain-verification=34BCGNE4goU2sS7B2H+sTVbt/m0DlOnbHn3+2vC9+ZdNW1QOnvvs8QysSIFKd8Wn, logmein-verification-code=39425810-f659-4c1e-9e71-8999deebe04b, google-site-verification=Oofn47AEK0W9KjrFH4Z_2ggU6LVlZNNEwVnMm5FKbJU, google-site-verification=yPXENkAkDzDHPw4BFua4Sgn76UHejB5a9bAl5bNMiw4",,
[x],beta.mdm-ios.bitdefender.net,81.161.59.75,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],beta.nimbus.bitdefender.net,81.161.59.46,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],beta.push.bitdefender.net,81.161.59.47,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],beta2.bitdefender.com,91.199.104.5,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],betacampaigns.bitdefender.com,,,,NOERROR,,,,,,,,,
[x],bitadvisors.bitdefender.com,"104.18.169.222, 104.18.168.222",bitadvisors.bitdefender.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:a8de, 2606:4700::6812:a9de",True,cloudflare,,,,,,
[x],bitdefender.com,"104.18.169.222, 104.18.168.222",,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,"2606:4700::6812:a8de, 2606:4700::6812:a9de",True,cloudflare,"pdns210.ultradns.net, pdns210.ultradns.biz, pdns210.ultradns.org, pdns210.ultradns.com",,"mail.bitdefender.com, mx01.bbu.gts.mx.bitdefender.com","logmein-verification-code=39425810-f659-4c1e-9e71-8999deebe04b, google-site-verification=Oofn47AEK0W9KjrFH4Z_2ggU6LVlZNNEwVnMm5FKbJU, google-site-verification=yPXENkAkDzDHPw4BFua4Sgn76UHejB5a9bAl5bNMiw4, atlassian-sending-domain-verification=bb16ab06-4f2f-48d5-ae74-c3534e751ef9, v=spf1 include:spf.protection.outlook.com include:spf.bitdefender.com include:_spf.salesforce.com include:spf.mandrillapp.com include:_spf.atlassian.net include:spf.mindmatrix.net include:341979.spf06.hubspotemail.net ip4:208.117.49.186 ip4:3.68.129.51 ~a, ll, smartsheet-site-validation=0t4aXFYpjaINrBOxRhbxO-n3d4-VNmBs, apple-domain-verification=217f005rUdcKhBpU, atlassian-domain-verification=34BCGNE4goU2sS7B2H+sTVbt/m0DlOnbHn3+2vC9+ZdNW1QOnvvs8QysSIFKd8Wn",,
[x],bitdefender.net,"104.17.107.108, 104.17.108.108",,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,"2606:4700::6811:6b6c, 2606:4700::6811:6c6c",True,cloudflare,"pdns210.ultradns.net, pdns210.ultradns.com, pdns210.ultradns.org, pdns210.ultradns.biz",,"mx01.bbu.gts.mx.bitdefender.com, mail.bitdefender.com",v=spf1 a mx include:spf.bitdefender.com -all,,
[x],bitexchange.bitdefender.com,91.199.104.61,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blog.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blog.netherlands.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blog.promo.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blog.restrict.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blog17.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blogbrasil.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],blogssl.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],bluecoat-fe328ba7-3324-4ff1-ae6e-5f597c9d053e.2d7dd.cdn.bitdefender.net,152.195.133.11,cs1197.wpc.alphacdn.net,"ns1.alphacdn.net, noc.edgecast.com",NOERROR,2606:2800:233:6ad6:3412:7a2f:f1b3:a0eb,,,,,,,,
[x],bmdr-tst.bitdefender.com,,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,2600:9000:5307:d400::1,,,"ns-969.awsdns-57.net, ns-2004.awsdns-58.co.uk, ns-136.awsdns-17.com, ns-1452.awsdns-53.org",,,,,
[x],bmdr.bitdefender.com,"205.251.193.68, 205.251.195.135, 205.251.196.203, 205.251.199.109",,"ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-903.awsdns-48.net, ns-324.awsdns-40.com, ns-1901.awsdns-45.co.uk, ns-1227.awsdns-25.org",,,,,
[x],bmdrt.bitdefender.com,,,"ns-2007.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-2007.awsdns-58.co.uk, ns-564.awsdns-06.net, ns-1241.awsdns-27.org, ns-247.awsdns-30.com",,,,,
[x],border.bitdefender.com,91.199.104.1,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brand.bitdefender.com,"18.66.147.6, 18.66.147.23, 18.66.147.72, 18.66.147.120","brand_bitdefender_com.prod.brandmaster.cloud, dm6ivj99vxmqv.cloudfront.net","ns-1838.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1217.awsdns-24.org, ns-1838.awsdns-37.co.uk, ns-469.awsdns-58.com, ns-705.awsdns-24.net",,,,,
[x],brasil-api.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-bbs.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-blog.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-cloud.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,"pdns210.ultradns.net, pdns210.ultradns.com, pdns210.ultradns.org, pdns210.ultradns.biz",,,,,
[x],brasil-dev.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-email.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-host.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-m.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-mail2.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-mailin1.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,"pdns210.ultradns.net, pdns210.ultradns.com, pdns210.ultradns.org, pdns210.ultradns.biz",,,,,
[x],brasil-mx1.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-mx7.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-ns.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-ns1.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-server.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil-www1.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasil1017.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasilapi.athena.bitdefender.net,,athena.bitdefender.net,,NOERROR,,,,,,,,,
[x],brasilbbs.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasilcloud.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],brasildns2.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
