new,host,cname,soa,status_code,a,mx,txt,ns,cdn,cdn-name,caa,has_internal_ips,internal_ips,aaaa
[x],pages.razorpay.com,"prod-pages-weighted.razorpay.com, prod-white-ext.razorpay.com, prod-green-ext.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"15.207.153.40, 13.126.103.36, 13.232.7.211, 13.126.4.134, 35.154.176.44, 3.7.220.122, 3.111.13.42, 52.66.147.218",,,,,,,,,
[x],partner-lms.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.248.65, 18.66.248.58, 18.66.248.53, 18.66.248.44",,,,True,cloudfront,,,,
[x],paste.razorpay.com,"ops-common-con-v2.razorpay.com, eks-ops-con-alb-v2-1861891552.ap-south-1.elb.amazonaws.com","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"3.108.35.49, 3.109.83.38, 43.204.179.78",,,,,,,,,
[x],payment-pages-ecommerce.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"108.138.51.67, 108.138.51.113, 108.138.51.20, 108.138.51.76",,,,True,cloudfront,,,,
[x],payout-links-assets.razorpay.com,d11e2bpwxcbzhw.cloudfront.net,"ns-839.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-216.awsdns-27.com, ns-839.awsdns-40.net, ns-1530.awsdns-63.org, ns-2032.awsdns-62.co.uk",True,cloudfront,,,,
[x],payroll-fixed.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"143.204.215.84, 143.204.215.11, 143.204.215.34, 143.204.215.15",,,,True,cloudfront,,,,
[x],payroll.razorpay.com,"prod-payroll-weighted.razorpay.com, cde-blue-ext.razorpay.com, cde-green-ext.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"3.108.170.110, 13.127.41.139, 13.235.5.224, 3.108.171.79, 15.207.160.164, 3.109.53.70, 15.206.9.121, 3.108.106.15",,,,,,,,,
[x],preferencescloud-x2p-edge-http-shv-01-arn2.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],prod-api-canary.razorpay.com,cde-green-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"65.1.230.35, 3.108.127.63, 13.127.22.115, 15.207.160.42, 43.205.158.115, 43.205.179.183, 52.66.106.96, 65.0.227.89",,,,,,,,,
[x],prod-api-static.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"52.66.140.61, 52.66.140.48",,,,,,,,,
[x],prod-api.razorpay.com,"prod-api-weighted.razorpay.com, cde-blue-ext-v2.razorpay.com, cde-green-ext-v2.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"15.207.172.234, 52.66.80.178",,,,,,,,,
[x],prod-blue-concierge.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
