new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,txt,aaaa,ns,mx,caa
[x],services.smartforms.td.com,"52.222.214.89, 52.222.214.62, 52.222.214.65, 52.222.214.77","ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
[x],sfoauth.pat.td.com,142.205.34.122,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,sfoauth.pat.td.com.globalpat.td.com,,,,,,,nstorpat.tdbank.ca,,
[x],sfoauth.prepat.td.com,142.205.34.121,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,sfoauth.prepat.td.com.globalpat.td.com,,,,,,,,,
[x],shoppingspree.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],sit.apigateway2.td.com,"96.16.54.114, 96.16.54.155","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"sit.apigateway2.td.com.edgekey.net, e125198.b.akamaiedge.net",,,,,,,,,
[x],sit.smartforms.td.com,,"ns-250.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-1218.awsdns-24.org, ns-1893.awsdns-44.co.uk, ns-250.awsdns-31.com, ns-978.awsdns-58.net",,
[x],sitetransferticketservice2.pat.td.com,,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,sitetransferticketservice2.pat.td.com.globalpat.td.com,,,,,,,,,
[x],smallbusinessadvisors.td.com,"104.18.112.52, 104.18.113.52, 104.18.114.52, 104.18.115.52, 104.18.116.52","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"smallbusinessadvisors.td.com.yext-cdn.com, cdn-ac-ff.sitescdn.net, cloudflare.sitescdn.net, cloudflare.sitescdn.net.cdn.cloudflare.net",,,True,cloudflare,,"2606:4700::6812:7234, 2606:4700::6812:7034, 2606:4700::6812:7134, 2606:4700::6812:7434, 2606:4700::6812:7334",,,
[x],smartforms.td.com,"13.32.145.24, 13.32.145.61, 13.32.145.128, 13.32.145.82","ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,"ns-2044.awsdns-63.co.uk, ns-630.awsdns-14.net, ns-10.awsdns-01.com, ns-1481.awsdns-57.org",,
[x],smtp-in-1.uat.td.com,142.205.125.212,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
