input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_expired,cdn_name,cdn,webserver,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_emails_,location,tls_self_signed
elo.harvard.edu,Home | Harvard Web Publishing,200,5545,AS14618,AMAZON-AES,US,18.211.60.0/24,elo.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=openscholar.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",openscholar.harvard.edu,President and Fellows of Harvard College,zeligproject.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,2227a25e0ca3e04154999fd71875b0e7,20f505198b35d674d64f2fc780befbaac3365e0d185b39140b98835df1fcfc7d,ctls,elo.harvard.edu,443,https://elo.harvard.edu:443,https,text/html,GET,18.208.82.203,/,-46842621,18.232.209.104,PHP,84,False,,,,nginx,True,,,True,,,
email.childrens.harvard.edu,Outlook Web App,200,89976,AS40127,LMANET,US,134.174.0.0/16,email.childrens.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-29T00:00:00Z,2023-07-29T23:59:59Z,"CN=email.tch.harvard.edu, O=The Children's Hospital Corporation, ST=Massachusetts, C=US",email.tch.harvard.edu,The Children's Hospital Corporation,smtp.tch.harvard.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,791f7076aeb3c8ed5b840562c9471c9b,fa01296a9d0259e8d4bcb08c626c7544f05d778160c785b3aa5a724b916032d0,ctls,email.childrens.harvard.edu,443,https://email.childrens.harvard.edu:443,https,text/html,GET,134.174.13.223,/,,134.174.13.223,Windows Server,1418,False,,,,Microsoft-IIS/8.5,,https://email.childrens.harvard.edu/owa/auth/logon.aspx?url=https%3a%2f%2femail.childrens.harvard.edu%2fowa%2f&reason=0,,,,,
email.tch.harvard.edu,Outlook Web App,200,88701,AS40127,LMANET,US,134.174.0.0/16,email.tch.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-29T00:00:00Z,2023-07-29T23:59:59Z,"CN=email.tch.harvard.edu, O=The Children's Hospital Corporation, ST=Massachusetts, C=US",email.tch.harvard.edu,The Children's Hospital Corporation,smtp.tch.harvard.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,791f7076aeb3c8ed5b840562c9471c9b,fa01296a9d0259e8d4bcb08c626c7544f05d778160c785b3aa5a724b916032d0,ctls,email.tch.harvard.edu,443,https://email.tch.harvard.edu:443,https,text/html,GET,134.174.13.223,/,,134.174.13.223,Windows Server,1418,False,,,,Microsoft-IIS/8.5,,https://email.tch.harvard.edu/owa/auth/logon.aspx?url=https%3a%2f%2femail.tch.harvard.edu%2fowa%2f&reason=0,,,,,
embed-qa.hz.lib.harvard.edu,503 Service Temporarily Unavailable,503,162,AS14618,AMAZON-AES,US,44.213.52.0/23,embed-qa.hz.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=embed-qa.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",embed-qa.lib.harvard.edu,President and Fellows of Harvard College,embed-qa.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,1e9251d24069c1ffe454dd72ede6e7a8,445f69a4f9413873a5c74445b9d9fb3ec1c6ce9e25e67b25db1bad77b90e26b8,ctls,embed-qa.hz.lib.harvard.edu,443,https://embed-qa.hz.lib.harvard.edu:443,https,text/html,GET,44.207.149.64,/,1862162275,3.212.132.46,,7,False,,,,awselb/2.0,,,,True,,,
embed-qa.lib.harvard.edu,503 Service Temporarily Unavailable,503,564,AS14618,AMAZON-AES,US,3.218.182.0/24,embed-qa.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=embed-qa.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",embed-qa.lib.harvard.edu,President and Fellows of Harvard College,embed-qa.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,1e9251d24069c1ffe454dd72ede6e7a8,445f69a4f9413873a5c74445b9d9fb3ec1c6ce9e25e67b25db1bad77b90e26b8,ctls,embed-qa.lib.harvard.edu,443,https://embed-qa.lib.harvard.edu:443,https,text/html,GET,3.212.132.46,/,2051366281,18.232.44.202,,13,False,,,,awselb/2.0,,,,,,,
ems.fas.harvard.edu,Not Found,404,315,AS1742,HARVARD-UNIV,US,128.103.200.0/24,ems.fas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=roombook.fas.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",roombook.fas.harvard.edu,President and Fellows of Harvard College,roombook.fas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3c5d1926ddaedbb881c98a59c8e4665c,c13b0ac1879ba9c943641fd01fbd8c8cb2ffbdc6eb3a7a0a389ec9a7ed39417d,ctls,ems.fas.harvard.edu,443,https://ems.fas.harvard.edu:443,https,text/html,GET,128.103.95.25,/,225052475,128.103.95.25,Microsoft HTTPAPI:2.0,7,False,,,,Microsoft-HTTPAPI/2.0,,,,True,,,
endocrineunit.mgh.harvard.edu,Endocrine,200,31112,AS40831,PHS,US,170.223.0.0/16,endocrineunit.mgh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=endocrineunit.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",endocrineunit.mgh.harvard.edu,President and Fellows of Harvard College,vm-csr-c14.partners.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,e5af7a239b2baade554438756a5530da,dbf766e1882c52f264048f9903cab15375c7fde4868b134d2dc5c4198282bf50,ctls,endocrineunit.mgh.harvard.edu,443,https://endocrineunit.mgh.harvard.edu:443,https,text/html,GET,170.223.191.141,/,-516490489,170.223.191.141,Ruby on Rails,110,False,,,,nginx,,https://endocrineunit.mgh.harvard.edu/login,,,,,
endymion.arp.harvard.edu,Welcome | Anderson Research Group,200,21360,AS1742,HARVARD-UNIV,US,140.247.128.0/17,www.arp.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-13T00:00:00Z,2024-01-13T23:59:59Z,"CN=www.arp.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",www.arp.harvard.edu,President and Fellows of Harvard College,www.arp.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a72c693a63655ea3bad00def2662cde5,791c53ec330b4a161d2cc024d37c3f263afe23629bc13c0b433546486cf1475f,ctls,www.arp.harvard.edu,443,https://endymion.arp.harvard.edu:443,https,text/html,GET,140.247.179.71,/,-855688948,140.247.179.71,PHP:7.2.24,315,False,,,,Apache/2.4.37 (centos) OpenSSL/1.1.1k,,https://www.arp.harvard.edu/,,,,,
engage.hks.harvard.edu,- HKS Engage,200,8056,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.68.0.0/14,engage.hks.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-29T23:00:22Z,2023-06-27T23:00:21Z,CN=engage.hks.harvard.edu,engage.hks.harvard.edu,,engage.hks.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ed53b22bba51cbf15e7a88cf5641213,e40bbf734fe3ced045705338d66a9de8a00b29cb833e2c25539d514759fc3a24,ctls,engage.hks.harvard.edu,443,https://engage.hks.harvard.edu:443,https,text/html,GET,40.70.147.21,/,755118655,40.70.147.21,Microsoft ASP.NET,73,False,,azure,True,,,,,,,,
engage.seas.harvard.edu,Office of Education Outreach & Community Programs | Harvard John A. Paulson School of Engineering and Applied Sciences,200,158876,AS14618,AMAZON-AES,US,54.172.0.0/14,seas.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T07:58:38Z,2023-07-11T07:58:37Z,CN=seas.harvard.edu,seas.harvard.edu,,www.seas.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,328670097a981004aba4c8875e7f4c24,46608bb89e3c9ae9dfaea70983f2e385f891fcd2af41141bc035f9bb7316d0b3,ctls,seas.harvard.edu,443,https://engage.seas.harvard.edu:443,https,text/html,GET,54.172.197.41,/,,54.172.197.41,Varnish,686,False,,,,nginx,,https://seas.harvard.edu/office-education-outreach-community-programs,,,,,
engage.sph.harvard.edu,- Harvard Chan Engage,200,8098,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.68.0.0/14,engage.sph.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-13T12:41:38Z,2023-06-11T12:41:37Z,CN=engage.sph.harvard.edu,engage.sph.harvard.edu,,engage.sph.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,97251c7edb216cd0e41d33dfaf5a4c6f,78cd60eac4ed885da8a0d62ffac1b9d4a6ac36265bbf7fa278f1d1484ba769a9,ctls,engage.sph.harvard.edu,443,https://engage.sph.harvard.edu:443,https,text/html,GET,40.70.147.21,/,755118655,40.70.147.21,Microsoft ASP.NET,73,False,,azure,True,,,,,,,,
enrollment-staging.vpal.harvard.edu,HarvardKey - Harvard University Authentication Service,200,23002,AS14618,AMAZON-AES,US,50.19.0.0/16,www.pin1.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=hk20-key-auth.iam.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",hk20-key-auth.iam.harvard.edu,President and Fellows of Harvard College,www.pin1.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3f63fcc5862e2a9dd4d7542171e1ea37,b508bb39e104348c89db50434ab75b8c2612830c2f562692eb86751850babe16,ctls,www.pin1.harvard.edu,443,https://enrollment-staging.vpal.harvard.edu:443,https,text/html,GET,50.19.236.20,/,1585328795,52.200.213.76,HSTS,357,False,,,,Apereo CAS,,https://www.pin1.harvard.edu/cas/login?service=https%3A%2F%2Fenrollment-staging.vpal.harvard.edu%2Flogin,,,,,
enterpriseenrollment.dfci.harvard.edu,Microsoft Intune admin center,200,39909,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,443,https://enterpriseenrollment.dfci.harvard.edu:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,,,,,https://intune.microsoft.com/,,,,,
enterpriseregistration.childrens.harvard.edu,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,enterpriseregistration.childrens.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.childrens.harvard.edu,443,https://enterpriseregistration.childrens.harvard.edu:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,,azure,True,,True,,,True,,,
entrepreneurship.seas.harvard.edu,TECH,200,69023,AS53831,SQUARESPACE,US,198.49.23.0/24,tech.seas.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T12:02:47Z,2023-07-29T12:02:46Z,CN=tech.seas.harvard.edu,tech.seas.harvard.edu,,tech.seas.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cafd64cd49a0a021e4c3bf25fc08e511,71a9657154cee7b96d2f38793071d1f246efedf8c8d568fea7d0b7c9be1fc456,ctls,tech.seas.harvard.edu,443,https://entrepreneurship.seas.harvard.edu:443,https,text/html,GET,198.49.23.144,/,,198.49.23.145,Squarespace Commerce,1756,False,,,,Squarespace,,https://tech.seas.harvard.edu/,,,,,
environment.harvard.edu,Harvard University Center for the Environment,200,247327,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,environment.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T08:06:59Z,2023-06-27T08:06:58Z,CN=environment.harvard.edu,environment.harvard.edu,,environment.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b318291b6b03e61a6d59a00019cecb30,563c5041f2b497bde699d89a0eb8501b6f867ba9bf2822b6b08881c04178650c,ctls,environment.harvard.edu,443,https://environment.harvard.edu:443,https,text/html,GET,23.2.13.57,/,888104103,23.2.13.25,Red Hat Gluster,3443,False,,,,,,,,,,,
eon.law.harvard.edu,adam.law.harvard.edu,200,649,AS1742,HARVARD-UNIV,US,128.103.200.0/24,eon.law.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-07T12:27:14Z,2023-07-06T12:27:13Z,CN=adam.law.harvard.edu,adam.law.harvard.edu,,www.opennet.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5c4b45eb91ca2ee3cc395c877e91be25,db7d9e0c1c974e25bfa24bd9380ee9861c818857fca4514690a0dea2c0b565f8,ctls,eon.law.harvard.edu,443,https://eon.law.harvard.edu:443,https,text/html,GET,128.103.64.74,/,-1025108051,128.103.64.74,Apache,22,False,,,,Apache,,,,True,,,
epod.cid.harvard.edu,Home Page | Harvard Evidence for Policy Design,200,48227,AS54113,AS54113,Unknown,23.185.0.0/24,epod.cid.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T01:16:42Z,2023-06-20T01:16:41Z,CN=epod.cid.harvard.edu,epod.cid.harvard.edu,,epod.cid.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,da647e5650f59b4eae90ae482ec0a298,db31931d51cb18f7abd948b4974bf8a8084f767e60a1a3ba9f7448b758e05189,ctls,epod.cid.harvard.edu,443,https://epod.cid.harvard.edu:443,https,text/html,GET,23.185.0.1,/,2106479864,2620:12a:8001::1,Varnish,753,False,,,,nginx,,,,,,,
eproduct.hbsp.harvard.edu,Sign in - HBP eProduct,401,3256,AS14618,AMAZON-AES,US,44.213.52.0/23,eproduct.hbsp.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-26T00:00:00Z,2023-08-26T23:59:59Z,"CN=eproduct.hbsp.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",eproduct.hbsp.harvard.edu,President and Fellows of Harvard College,eproduct.hbsp.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0150e5618e7847925c281548d7e19f80,df4d6c3db19a23212eff67c998c203db4fbe5fc940c6f7564470835e58770c9a,ctls,eproduct.hbsp.harvard.edu,443,https://eproduct.hbsp.harvard.edu:443,https,text/html,GET,44.210.215.226,/,1411762679,54.234.0.111,Java,89,False,,,,Apache-Coyote/1.1,,https://eproduct.hbsp.harvard.edu/eproduct/session/signin;jsessionid=16C259852F542BC1A4EDF19B02901355.eproduct2-new,,,,,
eps.harvard.edu,Department of Earth and Planetary Sciences,200,41173,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,eps.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T08:08:40Z,2023-06-27T08:08:39Z,CN=eps.harvard.edu,eps.harvard.edu,,eps.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7f263ecd3fdc0eb9299a0a9d64cb582c,e9622bd967fb71822f06f6371f96755d676d27e6ec97fb0fc62997b652fa345e,ctls,eps.harvard.edu,443,https://eps.harvard.edu:443,https,text/html,GET,23.2.13.57,/,1003953618,23.2.13.25,Red Hat Gluster,396,False,,,,,,,,,,,
eresources.law.harvard.edu,Shibboleth Authentication Request,200,1331,AS1742,HARVARD-UNIV,US,140.247.128.0/17,login.eresources.law.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=*.eresources.law.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",*.eresources.law.harvard.edu,President and Fellows of Harvard College,eresources.law.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,5a18a486ba95f45eeb5ff9fe8cd614e3,dfb2dd1fa8d5d43665f7f066666c40445d4116fdad4af2988935b539f1b99b81,ctls,login.eresources.law.harvard.edu,443,https://eresources.law.harvard.edu:443,https,text/html,GET,140.247.209.63,/,84238792,140.247.209.63,,9,False,,,,EZproxy,True,https://login.eresources.law.harvard.edu/login,,,,,
esag.deas.harvard.edu,Solid Mechanics at Harvard University,200,611,AS14618,AMAZON-AES,US,54.172.0.0/14,esag.deas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-08-15T23:59:59Z,"CN=deas.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",deas.harvard.edu,President and Fellows of Harvard College,seas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,e9cee76bf01cebfc9fa61235a8ad679d,22ba1dbdeec4dafba2acae2bc6c99c86d74072c48295e9b6e7b5a0cb71c9aa1b,ctls,esag.deas.harvard.edu,443,https://esag.deas.harvard.edu:443,https,text/html,GET,54.172.197.41,/,848041302,54.172.197.41,FrontPage:3.0,21,False,,,,Apache/2.4.6 (CentOS),True,,,,,,
ess.fas.harvard.edu,ess,200,32638,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,ess.fas.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T19:15:06Z,2023-08-04T19:15:05Z,CN=*.fas.harvard.edu,*.fas.harvard.edu,,*.fas.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,07345cff98264f83eb06c7d6b21daa97,9ec98474ccb607a80bb11533a19dace651534769130d0e2887c3581903a0c563,ctls,ess.fas.harvard.edu,443,https://ess.fas.harvard.edu:443,https,text/html,GET,23.2.13.57,/,-832570552,23.2.13.25,Red Hat Gluster,266,False,,,,,True,,,,,,
ethan.law.harvard.edu,Weblogs at Harvard,200,24626,AS1742,HARVARD-UNIV,US,128.103.200.0/24,blogs.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T00:00:00Z,2023-07-20T23:59:59Z,"CN=blogs.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",blogs.harvard.edu,President and Fellows of Harvard College,ethan.law.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,d1a5a5df11d090d2947d47b49d1c43cc,20823c260f69be38fd4a6a2e62009fd6b5c5303210cc47a5b37c558ce4826512,ctls,blogs.harvard.edu,443,https://ethan.law.harvard.edu:443,https,text/html,GET,128.103.64.114,/,,128.103.64.114,WordPress:4.8.1,345,False,,,,Apache,,https://blogs.harvard.edu/,,,,,
evals.mgh.harvard.edu,Evals | login,200,4201,AS40831,PHS,US,170.223.0.0/16,evals.mgh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=evals.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",evals.mgh.harvard.edu,President and Fellows of Harvard College,evals.partners.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,8fbd983797acc7d7c51b2f1936688b34,0d88add67e6562127fb8ce22c74505a922ec6392737b7babe020b06635191026,ctls,evals.mgh.harvard.edu,443,https://evals.mgh.harvard.edu:443,https,text/html,GET,170.223.191.141,/,-1840324437,170.223.191.141,Ruby on Rails,124,False,,,,nginx,,https://evals.mgh.harvard.edu/login,,,,,
evalue.hmdc.harvard.edu,How to use this website - E-value calculator,200,7055,AS14618,AMAZON-AES,US,3.228.0.0/17,www.evalue-calculator.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-21T22:15:59Z,2023-07-20T22:15:58Z,CN=www.evalue-calculator.com,www.evalue-calculator.com,,www.evalue-calculator.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e2482f78d69cb5f60e82f65904f85507,d641308e770bba657567705f1b495b259820175c75350887f15b42ffccbed7d4,ctls,www.evalue-calculator.com,443,https://evalue.hmdc.harvard.edu:443,https,text/html,GET,3.220.57.224,/,,54.91.59.199,Varnish,269,False,,,,GitHub.com,,https://www.evalue-calculator.com,,,,,
events.gse.harvard.edu,EventRsvp,200,12827,AS14618,AMAZON-AES,US,52.44.0.0/15,events.gse.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-02-02T00:00:00Z,2023-02-16T23:59:59Z,"CN=cds4.cvent.com, O=Cvent\, Inc., L=Tysons, ST=Virginia, C=US",cds4.cvent.com,"Cvent, Inc.",www.dykemadsoevents.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,44babd931480416e6fb0fe56cbde4190,2c0ca6b854a2cb13685585d8da3b57c3ace33697befb29dd9c50bc87d136875b,ctls,events.gse.harvard.edu,443,https://events.gse.harvard.edu:443,https,text/html,GET,52.44.0.219,/,-151418316,54.211.156.219,Microsoft ASP.NET,393,False,True,,,,,https://events.gse.harvard.edu/events/EventRsvp.aspx,,,,,
events.hfc.harvard.edu,Runtime Error,500,3490,AS14618,AMAZON-AES,US,54.167.0.0/17,events.hfc.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-08T00:00:00Z,2023-09-08T23:59:59Z,"CN=events.hfc.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",events.hfc.harvard.edu,President and Fellows of Harvard College,events.hfc.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a93b859cfc6fa43d1d6b26639fc8f351,b77c3365f8dd54da0a8707a4d2dd91aa14a87936fea593598b82c1765a608a80,ctls,events.hfc.harvard.edu,443,https://events.hfc.harvard.edu:443,https,text/html,GET,54.166.82.211,/,1772087922,3.218.197.162,Microsoft ASP.NET,83,False,,,,,,,,,,,
events.seas.harvard.edu,Events Calendar - Harvard SEAS,200,170129,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,events.seas.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-21T00:00:00Z,2023-10-22T23:59:59Z,"CN=events.seas.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",events.seas.harvard.edu,President and Fellows of Harvard College,events.seas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,48f64f6ba273176f9f1ebf7fc2b48f44,89b3e838611e18d4d4e393b08b50bc5117c52149c1d45d1a6157d32dd9ae3881,ctls,events.seas.harvard.edu,443,https://events.seas.harvard.edu:443,https,text/html,GET,13.92.255.122,/,-1840324437,13.92.255.122,Varnish,1055,False,,azure,True,,,,,,,,
events.wyss.harvard.edu,harvard.edu,403,582,AS54113,FASTLY,US,151.101.8.0/22,events.wyss.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,2024-02-19T23:59:59Z,"CN=events.wyss.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",events.wyss.harvard.edu,President and Fellows of Harvard College,events.wyss.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,830252ed03dafb51ce64e2e74abc605b,f8aa134c752f6489ecc2f2996bba36f3fbb09a1820548145ff2b8b525317a3ef,ctls,events.wyss.harvard.edu,443,https://events.wyss.harvard.edu:443,https,text/html,GET,151.101.2.133,/,-1110427655,151.101.66.133,Varnish,2,False,,fastly,True,DataDome,,,,,,,
