new,host,cname,soa,status_code,cdn,cdn-name,a,mx,txt,ns,has_internal_ips,internal_ips,aaaa
[x],60.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],66-220-157-78.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],66-220-157-98.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],69-171-232-71.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],69-171-244-76.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],7wkaq.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],7wkbl.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],7wkc5.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],7wkgg.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],8a35.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],911standalone.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],95b2.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],9mm.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],9xmovies.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],a-162-150-169-24.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],a-96-118-0-55.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],a-96-119-243-24-systemparquet2.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],a-96-119-5-95.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],a-p-infwjmp-01b.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],a001bucgts.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],a1a-vlan20.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],a2-17-28-72.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],a66.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],abgw.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],aboutofbooks.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],abpp.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],acc-edge35.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],acc-vpn.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],acceptatieci-helpdesk.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],acceptatieoge.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],acceptextranet-database-officebackups-domain.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],acceptru.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
