new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,mx,txt,caa,aaaa
[x],e23esmtp02.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ebetaads.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],eco-staging.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],economiafenix.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ect.pulsar-luna-useast1.staging.streaming.datastax.com,34.23.148.168,,"ns-813.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,"heritage=external-dns,external-dns/owner=my-identifier,external-dns/resource=service/pulsar/pulsar-luna-useast1-staging-proxy",,
[x],ect.pulsar-luna-uswest1.staging.streaming.datastax.com,,,"ns-813.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,"heritage=external-dns,external-dns/owner=my-identifier,external-dns/resource=service/pulsar/pulsar-luna-uswest1-staging-proxy",,
[x],edaproxy1.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],edgeray-turn-msgr-shv-01-bcn1.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],edgetee.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],edomitsu.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],eds.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],eet.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],egr10.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
