new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa,mx
,stg.portal.hnod.here.com,"79.125.35.66, 34.249.67.218, 52.30.1.187","ns-1094.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"heritage=external-dns,external-dns/owner=borg-prd-1-aws-eu-west-1.k8s.in.here.com,external-dns/resource=service/here-hnod-prod/hnodportal-stg-sentry",,,,
,stg.spot.account.here.com,"52.72.143.204, 34.194.158.135","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-940.awsdns-53.net, ns-1258.awsdns-29.org, ns-1537.awsdns-00.co.uk, ns-434.awsdns-54.com",,,,,,,
,stg.us-east-1.access.hub.api.here.com,,"ns-1534.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.us-west-2.access.hub.api.here.com,,"ns-80.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.us-west-2.account.here.com,"54.200.96.3, 44.224.129.188, 34.211.15.222","ns-1451.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1451.awsdns-53.org, ns-1805.awsdns-33.co.uk, ns-237.awsdns-29.com, ns-580.awsdns-08.net",,,,,,,
,stg.us-west-2.accounting.cit.api.here.com,"44.226.125.136, 52.12.174.187","ns-1351.awsdns-40.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.vehicles.hnod.api.here.com,"54.76.111.156, 3.248.157.117, 34.253.172.229","ns-1120.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,eu-west-1-stg.vehicles.hnod.api.here.com,,,,"heritage=external-dns,external-dns/owner=borg-prd-1-aws-eu-west-1.k8s.in.here.com,external-dns/resource=service/here-api-gateway-prod/hnav-vehicles-stg-1669644929970-sentry",,,,
,stg2.company.here.com,23.212.219.105,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"stg2.company.here.com.edgekey.net, e13668.b.akamaiedge.net",,,,,,,,
,stg2.www.here.com,104.81.98.191,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"stg2.www.here.com.edgekey.net, e13668.b.akamaiedge.net",,,,,,,,
,stream.scbe.api.here.com,,"ns-1047.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,"stream.scbe.api.here.com.a137.p01.hereglb.com, prd.stream.eu-west-1.scbe.api.here.com",,True,cloudfront,,,,,
,stream.scbe.sit.api.here.com,"18.154.63.68, 18.154.63.41, 18.154.63.118, 18.154.63.13","ns-1047.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,"stream.scbe.sit.api.here.com.a137.p01.hereglb.com, sit.stream.eu-west-1.scbe.api.here.com",,True,cloudfront,,,,,
,stt.ap-southeast-1.scbe.api.here.com,18.208.70.103,"ns-162.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1428.awsdns-50.org, ns-1557.awsdns-02.co.uk, ns-162.awsdns-20.com, ns-769.awsdns-32.net",,,,,,,
,stt.us-east-1.scbe.api.here.com,"34.239.85.43, 35.174.206.125, 205.251.193.248, 205.251.194.106, 205.251.197.120, 205.251.198.188","ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1724.awsdns-23.co.uk, ns-1400.awsdns-47.org, ns-504.awsdns-63.com, ns-618.awsdns-13.net",,,,,,,
,stt.us-west-2.scbe.api.here.com,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1400.awsdns-47.org, ns-1553.awsdns-02.co.uk, ns-201.awsdns-25.com, ns-981.awsdns-58.net",,,,,,,
