new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,has_internal_ips,internal_ips,caa
[x],connect-acs-ai.bentley.com,20.50.64.11,"prod-analyticalinsightsapi-trafficmanager.trafficmanager.net, connect-acs-ai-neu.bentley.com, prod-acsai-neu.azurewebsites.net, waws-prod-db3-185.sip.azurewebsites.windows.net, waws-prod-db3-185-1300.northeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-activescanscheduler.bentley.com,20.49.104.22,"prod-activescanscheduler-eus.azurewebsites.net, hosts.prod-activescanscheduler-eus.azurewebsites.net","ns1-224.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-advisorsuggestionapi.bentley.com,40.71.11.137,"prod-advisorsuggestionapi-eus.azurewebsites.net, waws-prod-blu-153.sip.azurewebsites.windows.net, waws-prod-blu-153.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-agencyinspectionwsg-uks.bentley.com,51.104.28.64,"prod-agencyinspectionwsg02-uks.azurewebsites.net, waws-prod-ln1-043.sip.azurewebsites.windows.net, waws-prod-ln1-043-cake.uksouth.cloudapp.azure.com","ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-appseccontrolsservice.bentley.com,40.71.11.157,"prod-appseccontrolsservice-eus.azurewebsites.net, waws-prod-blu-025a.sip.azurewebsites.windows.net, waws-prod-blu-025a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-aue-staging.bentley.com,52.237.220.246,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-aue.bentley.com,52.187.210.125,prod-bts-aue.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-cac-staging.bentley.com,52.233.39.71,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-cac.bentley.com,52.237.31.192,prod-bts-cac.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-eus-staging.bentley.com,40.76.44.154,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-eus.bentley.com,,prod-bts-eus.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-neu.bentley.com,,prod-bts-neu.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-sea.bentley.com,52.187.7.183,prod-bts-sea.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-uks-staging.bentley.com,51.140.67.233,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,azure,,,,,,,
[x],connect-bts-uks.bentley.com,51.140.24.53,prod-bts-uks.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-bts.bentley.com,51.140.24.53,"prod-connect-bts.trafficmanager.net, connect-bts-uks.bentley.com, prod-bts-uks.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-btsportal-eus.bentley.com,40.87.70.95,"portal-eus.pwdm.bentley.com, prod-pwdmportal-eus.azurewebsites.net, waws-prod-blu-115.sip.azurewebsites.windows.net, waws-prod-blu-115.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-btsproc.bentley.com,137.135.121.19,prod-btsproc-eus.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-cloudservicesetupapp.bentley.com,20.119.0.22,"prod-cloudservicesetupapp-eus.azurewebsites.net, waws-prod-blu-367.sip.azurewebsites.windows.net, waws-prod-blu-367-a9c4.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],connect-componentscenterportal.bentley.com,13.92.193.110,"prod-componentscenterportal-eus.azurewebsites.net, waws-prod-blu-093.sip.azurewebsites.windows.net, waws-prod-blu-093.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-componentscenterprocesses.bentley.com,13.92.193.110,"prod-componentscenterprocesses-eus.azurewebsites.net, waws-prod-blu-093.sip.azurewebsites.windows.net, waws-prod-blu-093.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-componentscenterservice.bentley.com,13.92.193.110,"prod-componentscenterservice-eus.azurewebsites.net, waws-prod-blu-093.sip.azurewebsites.windows.net, waws-prod-blu-093.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextcapture-staging.bentley.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],connect-contextentitlementsettings-eus-staging.bentley.com,,,,NOERROR,,,,,,,,,
[x],connect-contextentitlementsettings-sea.bentley.com,13.76.44.139,"prod-contextentitlementsettings-sea.azurewebsites.net, waws-prod-sg1-039.sip.azurewebsites.windows.net, waws-prod-sg1-039.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextentitlementsettings-weu.bentley.com,52.178.89.129,"prod-contextentitlementsettings-weu.azurewebsites.net, waws-prod-am2-191.sip.azurewebsites.windows.net, waws-prod-am2-191.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextentitlementsettings.bentley.com,52.178.89.129,"prod-contextentitlementsettings-trafficmanager.trafficmanager.net, connect-contextentitlementsettings-weu.bentley.com, prod-contextentitlementsettings-weu.azurewebsites.net, waws-prod-am2-191.sip.azurewebsites.windows.net, waws-prod-am2-191.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextinsights.bentley.com,40.71.11.132,"prod-contextinsights-eus.azurewebsites.net, waws-prod-blu-141.sip.azurewebsites.windows.net, waws-prod-blu-141.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextregistry.bentley.com,13.92.193.110,"prod-contextregistry-eus.azurewebsites.net, waws-prod-blu-093.sip.azurewebsites.windows.net, waws-prod-blu-093.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextservices.bentley.com,40.71.11.157,"prod-contextservicesapp-eus.azurewebsites.net, waws-prod-blu-025a.sip.azurewebsites.windows.net, waws-prod-blu-025a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-contextshare.bentley.com,20.119.0.3,"prod-contextshareportal-eus.azurewebsites.net, waws-prod-blu-319.sip.azurewebsites.windows.net, waws-prod-blu-319-7e61.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],connect-designvalidationrulemanagement-cac.bentley.com,52.228.84.33,"prod-designvalidationrulemgmt-cac.azurewebsites.net, waws-prod-yt1-027.sip.azurewebsites.windows.net, waws-prod-yt1-027-corn.canadacentral.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-diautilities.bentley.com,20.42.26.252,"prod-diautilities-eus.azurewebsites.net, hosts.prod-diautilities-eus.azurewebsites.net","ns1-224.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-document-registry-api-cac.bentley.com,52.228.84.34,"prod-document-registry-api-cac.azurewebsites.net, waws-prod-yt1-029.sip.azurewebsites.windows.net, waws-prod-yt1-029-07a1.canadacentral.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-entitlementinternalutil-staging.bentley.com,,,,NOERROR,,,,,,,,,
[x],connect-entitlementmanagement-staging.bentley.com,,,,NOERROR,,,,,,,,,
[x],connect-evaluationentitlementservice-eus.bentley.com,52.170.46.174,"prod-evaluationentitlementservice-eus.azurewebsites.net, waws-prod-blu-083.sip.azurewebsites.windows.net, waws-prod-blu-083.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-evaluationentitlementservice.bentley.com,,"prod-evaluationentitlementservice-trafficmanager.trafficmanager.net, connect-evaluationentitlementservice-weu.bentley.com, prod-evaluationentitlementservice-weu.azurewebsites.net, waws-prod-am2-191.sip.azurewebsites.windows.net, waws-prod-am2-191.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-formmanager.bentley.com,52.179.97.15,"prod-formmanagerwebapp-eus.azurewebsites.net, waws-prod-blu-085.sip.azurewebsites.windows.net, waws-prod-blu-085.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-formsdocumentcreate-aue.bentley.com,20.37.196.201,"prod-formsdocumentcreate-aue.azurewebsites.net, waws-prod-sy3-065.sip.azurewebsites.windows.net, waws-prod-sy3-065-69f9.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-formsdocumentcreate-neu.bentley.com,20.50.64.4,"prod-formsdocumentcreate-neu.azurewebsites.net, waws-prod-db3-169.sip.azurewebsites.windows.net, waws-prod-db3-169-74aa.northeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-formsdocumentcreate-sea.bentley.com,20.212.64.7,"prod-formsdocumentcreate-sea.azurewebsites.net, waws-prod-sg1-079.sip.azurewebsites.windows.net, waws-prod-sg1-079-1a07.southeastasia.cloudapp.azure.com","ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],connect-formswsg-uks-staging.bentley.com,,,,NOERROR,,,,,,,,,
[x],connect-formswsg-uks.bentley.com,,,,NOERROR,,,,,,,,,
[x],connect-hcprojectfunctionapp-san.bentley.com,102.133.218.32,"prod-hcprojectfunctionapp-san.azurewebsites.net, waws-prod-jnb21-007.sip.azurewebsites.windows.net, waws-prod-jnb21-007-732e.southafricanorth.cloudapp.azure.com","ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,
[x],connect-hcprojectfunctionapp.bentley.com,,"prod-hcprojectfunctionapp02-eus.azurewebsites.net, waws-prod-blu-213.sip.azurewebsites.windows.net, waws-prod-blu-213-85fe.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
