new,host,a,soa,status_code,ns,cdn,cdn-name,txt,cname,mx,caa,aaaa,has_internal_ips,internal_ips
,roc.tz.xvservice.net,"54.204.58.238, 35.173.87.243","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,xv-roc-production-elb-1024047781.us-east-1.elb.amazonaws.com,,,,,
,salary-bands.dev.iat.it.xvservice.net,"54.255.99.209, 3.1.167.118, 205.251.193.230, 205.251.194.247, 205.251.197.116, 205.251.198.42","ns-486.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1578.awsdns-05.co.uk, ns-486.awsdns-60.com, ns-759.awsdns-30.net, ns-1396.awsdns-46.org",,,,,,,,,
,salary-bands.prd.iat.it.xvservice.net,"13.229.32.145, 52.220.145.209","ns-451.awsdns-56.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1241.awsdns-27.org, ns-1945.awsdns-51.co.uk, ns-451.awsdns-56.com, ns-806.awsdns-36.net",,,,,,,,,
,serveradmin-1-exp.serveradmin-staging.xvtest.net,,"ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,serveradmin-1.serveradmin-staging.xvtest.net,"52.200.44.58, 3.225.146.79","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,serveradmin-2.serveradmin-staging.xvtest.net,"34.235.10.147, 54.161.242.227","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,serveradmin.expressvpn.com,"54.82.241.178, 18.208.30.202",,NOERROR,,,,,,,,,,
,siem.prd.sec.xvservice.net,,"ns-1708.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-99.awsdns-12.com, ns-1708.awsdns-21.co.uk, ns-1368.awsdns-43.org, ns-796.awsdns-35.net",,,,,,,,,
,smon.xvtest.net,34.193.209.73,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,speedtest.expressvpn.com,"18.67.65.83, 18.67.65.103, 18.67.65.50, 18.67.65.87","ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,splinter-production.xvservice.net,,"ns-1565.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1137.awsdns-14.org, ns-1565.awsdns-03.co.uk, ns-436.awsdns-54.com, ns-547.awsdns-04.net",,,,,,,,,
,staging-eu-1.pmgr.xvtest.net,"54.220.85.143, 63.35.93.237","ns-1635.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1243.awsdns-27.org, ns-1635.awsdns-12.co.uk, ns-299.awsdns-37.com, ns-648.awsdns-17.net",,,,,,,,,
,staging.hydra-v2.xvtest.net,52.77.87.236,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,support.expressvpn.com,52.76.157.133,"ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,,,v=spf1 a mx include:relay.mailchannels.net  -all,,,,,,
,sys.xvservice.net,,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-217.awsdns-27.com, ns-849.awsdns-42.net, ns-1061.awsdns-04.org, ns-1572.awsdns-04.co.uk",,,,,,,,,
