new,host,a,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],amex-merchant-details.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],amplify.expediagroup.com,"18.160.46.75, 18.160.46.129, 18.160.46.9, 18.160.46.66, 205.251.192.158, 205.251.195.43, 205.251.197.227, 205.251.199.131","ns-158.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"egadvocacy.sprinklr.com, d1hycrk5ope9c0.cloudfront.net","ns-158.awsdns-19.com, ns-1923.awsdns-48.co.uk, ns-1507.awsdns-60.org, ns-811.awsdns-37.net",,,"2600:9000:24f3:f600:7:363:f000:93a1, 2600:9000:24f3:d400:7:363:f000:93a1, 2600:9000:24f3:8200:7:363:f000:93a1, 2600:9000:24f3:5a00:7:363:f000:93a1, 2600:9000:24f3:2200:7:363:f000:93a1, 2600:9000:24f3:f400:7:363:f000:93a1, 2600:9000:24f3:ce00:7:363:f000:93a1, 2600:9000:24f3:6e00:7:363:f000:93a1",,,
[x],amresorts.expedia.com,134.213.78.25,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],analytics-api-external-v2.prod.epsdecaf.expedia.com,"18.66.122.3, 18.66.122.20, 18.66.122.107, 18.66.122.2","ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],analytics-api-external-v2.test.epsdecaf.expedia.com,"18.165.227.26, 18.165.227.106, 18.165.227.8, 18.165.227.5",,NOERROR,True,cloudfront,,"ns-1426.awsdns-50.org, ns-1946.awsdns-51.co.uk, ns-557.awsdns-05.net, ns-8.awsdns-01.com",,,,,,
[x],analytics-api-external.prod.epsdecaf.expedia.com,"108.138.17.31, 108.138.17.129, 108.138.17.14, 108.138.17.113","ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],analytics-api-external.test.epsdecaf.expedia.com,"18.244.155.44, 18.244.155.103, 18.244.155.60, 18.244.155.77","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1426.awsdns-50.org, ns-1946.awsdns-51.co.uk, ns-557.awsdns-05.net, ns-8.awsdns-01.com",,,,,,
[x],analytics-api-internal-v2.prod.epsdecaf.expedia.com,"108.138.7.93, 108.138.7.12, 108.138.7.19, 108.138.7.46","ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],analytics-api-internal-v2.test.epsdecaf.expedia.com,"18.173.233.64, 18.173.233.88, 18.173.233.14, 18.173.233.82","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],analytics.expediapartnersolutions.com,"92.123.104.59, 92.123.104.8",,NOERROR,,,"analytics.expediapartnersolutions.com.edgekey.net, e85197.x.akamaiedge.net",,,,,,,
