new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,txt,mx,caa,has_internal_ips,internal_ips,ptr
,jenkins.grantsolutions.gov,52.5.126.66,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
,jenkins.west.cms.gov,"52.11.31.78, 54.214.177.153, 44.240.81.54",,"jenkins-west.cloud.cms.gov.akadns.net, jenkins-prod-nlb-public-1db0d63ded5c6fe5.elb.us-west-2.amazonaws.com","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,jira-osii.philab.cdc.gov,12.139.22.13,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,jira-sf.grantsolutions.gov,18.235.184.228,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
,jira.dev.era.nih.gov,165.112.228.30,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,jira.hrsa.gov,162.99.248.158,2607:f220:41c:400::a263:f89e,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,,,
,jira.imp.cms.gov,"104.126.116.66, 104.126.116.10","2600:1408:7400::17de:4fb1, 2600:1408:7400::17de:4fe3","nonproduction.cms.gov.edgekey.net, e110723.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,jira.npdb.hrsa.gov,52.11.18.42,,,"hrsans1.hrsa.gov, hostmaster.hrsa.gov",,NOERROR,,,,,,,,
,jira.sandbox.era.nih.gov,165.112.228.36,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,jiradev.philab.cdc.gov,12.139.22.24,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,jiraentdev.cms.gov,"35.169.208.71, 54.160.19.251",,ent-tools-jiradev-alb-673251620.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,jiraentimpl.cms.gov,"3.229.207.152, 3.224.198.44, 18.209.222.147",,ent-tools-jira-impl-181363442.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,jobfair.hrsa.gov,23.212.210.133,,"jobfair.hrsa.gov.edgekey.net, e8604.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,jobs-origin.cdc.gov,198.246.106.49,,origin.glb.cdc.gov,"ns1.glb.cdc.gov, hostmaster.ns1.glb.cdc.gov",,NOERROR,,,,,,,,
,jobs.cdc.gov,104.81.223.160,"2a02:26f0:d200:483::2461, 2a02:26f0:d200:482::2461",jobs.akam.cdc.gov,"a1-43.akam.net, adhelpdsk.cdc.gov",,NOERROR,,,,,,,,
,joinastudystage.niehs.nih.gov,157.98.255.45,,stage.niehs.nih.gov,"ns8.niehs.nih.gov, niehsdco.niehs.nih.gov",,NOERROR,,,,,,,,
,joinsolver.niaid.nih.gov,"34.193.28.71, 34.224.228.8",,nbp.niaidawsprod.net,"ns-279.awsdns-34.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,juntossipodemos.hhs.gov,"104.126.116.19, 104.126.116.9","2600:1408:7400::17de:4fd9, 2600:1408:7400::17de:4fe0","wecandothis.hhs.gov.edgekey.net, e102848.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,jupiter.philab.cdc.gov,96.77.124.140,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,jupyter.mct.backends.cms.gov,"10.133.188.224, 10.133.189.77, 10.133.189.16",,internal-mct-prod-analytics-419861531.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,"10.133.188.224, 10.133.189.77, 10.133.189.16",
,k1.niddk.nih.gov,128.231.60.201,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,k12.niddk.nih.gov,128.231.60.212,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,kato.nmrf.nih.gov,128.231.212.40,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,kato.nmrf.nih.gov,,,,
,kennybania.cdc.gov,158.111.236.119,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,kenya.cdc.gov,212.158.86.4,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,keys.nei.nih.gov,165.112.88.202,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,kidsstage.niehs.nih.gov,157.98.255.45,,stage.niehs.nih.gov,"ns8.niehs.nih.gov, niehsdco.niehs.nih.gov",,NOERROR,,,,,,,,
,ko.stopbullying.gov,3.145.237.138,,kohhsstopbullying.convertlanguage.com,"dns1.p08.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,,
,koenigsegg.ocio.nih.gov,128.231.128.38,,,"ns.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,kona.cit.nih.gov,165.112.93.94,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,kona.nhgri.nih.gov,156.40.242.14,,biowebprod17.nhgri.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,korean.cdc.gov,23.210.113.22,,korean.akam.cdc.gov,"a1-43.akam.net, adhelpdsk.cdc.gov",,NOERROR,,,,,,,,
,ku.niddk.nih.gov,128.231.82.38,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,kurage.nimh.nih.gov,156.40.187.116,2607:f220:419:4103::116,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,labapp1.cc.nih.gov,137.187.118.224,,isd118224.cc.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,labshare.nci.nih.gov,156.40.135.200,,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
,latin.cit.nih.gov,128.231.206.62,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lbm.niddk.nih.gov,104.91.113.9,"2600:1408:e000:191::2d30, 2600:1408:e000:196::2d30","niddk.nih.gov.edgekey.net, e11568.dscnus.akamaiedge.net","n0dscnus.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,ldap-aws-app-d.cms.gov,"10.235.58.106, 10.235.58.121",,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,"10.235.58.106, 10.235.58.121",
,ldap-aws-data-d.cms.gov,"10.235.58.132, 10.235.58.158",,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,"10.235.58.132, 10.235.58.158",
,ldap.niaid.nih.gov,128.231.240.100,,niaid-dc-campus.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,ldap.niehs.nih.gov,128.231.91.184,,ldap.mail.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,ldap1.cdc.gov,158.111.187.206,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,ldprv-int.cdc.gov,"104.126.37.145, 104.126.37.129","2a02:26f0:1700:11::b856:678b, 2a02:26f0:1700:11::b856:6792","ldprv-int.cdc.gov.edgekey.net, e37669.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,learn.niaid.nih.gov,128.231.153.25,2607:f220:415:3f1::16,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,learning.hhs.gov,128.121.42.48,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,learningcenter.niaid.nih.gov,165.112.180.87,2607:f220:415:3f0::15,ai-gcpappprd1.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,les.cit.nih.gov,165.112.159.101,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lexsrv3.nlm.nih.gov,"13.32.121.128, 13.32.121.18, 13.32.121.6, 13.32.121.17","2600:9000:236e:1000:1d:e8e3:cbc0:93a1, 2600:9000:236e:e600:1d:e8e3:cbc0:93a1, 2600:9000:2240:f200:1d:e8e3:cbc0:93a1, 2600:9000:2240:ec00:1d:e8e3:cbc0:93a1, 2600:9000:236e:ae00:1d:e8e3:cbc0:93a1, 2600:9000:2240:6800:1d:e8e3:cbc0:93a1, 2600:9000:2240:f400:1d:e8e3:cbc0:93a1, 2600:9000:2240:c000:1d:e8e3:cbc0:93a1",lexsrv3-wip.lhcaws.nlm.nih.gov,"ns-1336.awsdns-39.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,lfmi.ninds.nih.gov,128.231.19.185,2607:f220:419:8106:128:231:19:185,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lforms-demo.nlm.nih.gov,"18.67.65.122, 18.67.65.60, 18.67.65.111, 18.67.65.118","2600:9000:2269:d800:1d:e8e3:cbc0:93a1, 2600:9000:2269:5000:1d:e8e3:cbc0:93a1, 2600:9000:2269:f600:1d:e8e3:cbc0:93a1, 2600:9000:2269:4c00:1d:e8e3:cbc0:93a1, 2600:9000:2269:1400:1d:e8e3:cbc0:93a1, 2600:9000:2269:9a00:1d:e8e3:cbc0:93a1, 2600:9000:2269:ce00:1d:e8e3:cbc0:93a1, 2600:9000:2269:de00:1d:e8e3:cbc0:93a1",lhcforms.lhcaws.nlm.nih.gov,"ns-1336.awsdns-39.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,lfp.nih.gov,156.40.212.32,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lhc.nlm.nih.gov,,,,"lhcns1.nlm.nih.gov, nlmdnshostmaster.mail.nih.gov",,NOERROR,,,"ODDXEt4SnTCzdqi7enx/rtRgzwE/j9L8j0HK/fhD7HMSGlpWJ/JdlDNSbjHTS1eI6Tb7dfDYLYMdBV1wwKs2zA==, v=spf1 include:nih.gov ~all","nihcesxway.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxway2.hub.nih.gov, nihcesxway6.hub.nih.gov, nihcesxway4.hub.nih.gov",,,,
,lhcformbuilder.nlm.nih.gov,"52.21.181.164, 34.224.149.232, 18.214.200.137","2600:1f18:353:5f00:34c9:9fa1:ab66:a928, 2600:1f18:353:5f24:8f17:789e:c22a:ed0b, 2600:1f18:353:5f12:df2e:e4e0:b5b4:ee47",lhcformbuilder.lhcaws.nlm.nih.gov,"ns-1336.awsdns-39.org, awsdns-hostmaster.amazon.com",,NOERROR,,,"heritage=external-dns,external-dns/dualstack=true,external-dns/owner=Z1G0LYAL7HPWPJ,external-dns/resource=ingress/lhcformbuilder-287-production/lhcformbuilder",,,,,
,lhcnccsmnts.nlm.nih.gov,165.112.8.56,,,"lhcns1.nlm.nih.gov, nlmdnshostmaster.mail.nih.gov",,NOERROR,,,,,,,,
,library.niehs.nih.gov,157.98.255.23,,www.niehs.nih.gov,"ns8.niehs.nih.gov, niehsdco.niehs.nih.gov",,NOERROR,,,,,,,,
,lifeline-auth-dev.cms.gov,"18.164.68.93, 18.164.68.67, 18.164.68.90, 18.164.68.23","2600:9000:23d4:de00:7:cb95:db80:93a1, 2600:9000:23d4:f600:7:cb95:db80:93a1, 2600:9000:23d4:1c00:7:cb95:db80:93a1, 2600:9000:23d4:1a00:7:cb95:db80:93a1, 2600:9000:23d4:a200:7:cb95:db80:93a1, 2600:9000:23d4:ce00:7:cb95:db80:93a1, 2600:9000:23d4:9600:7:cb95:db80:93a1, 2600:9000:23d4:a800:7:cb95:db80:93a1",dbp3n82av8vam.cloudfront.net,"ns-258.awsdns-32.com, awsdns-hostmaster.amazon.com","ns-1531.awsdns-63.org, ns-1874.awsdns-42.co.uk, ns-258.awsdns-32.com, ns-638.awsdns-15.net",NOERROR,True,cloudfront,,,,,,
,lifeline-auth-test.cms.gov,"108.138.51.73, 108.138.51.19, 108.138.51.7, 108.138.51.36","2600:9000:2436:fe00:1b:d914:9f40:93a1, 2600:9000:2436:b800:1b:d914:9f40:93a1, 2600:9000:2436:7600:1b:d914:9f40:93a1, 2600:9000:2436:4e00:1b:d914:9f40:93a1, 2600:9000:2436:1600:1b:d914:9f40:93a1, 2600:9000:2436:e400:1b:d914:9f40:93a1, 2600:9000:2436:2400:1b:d914:9f40:93a1, 2600:9000:2436:d800:1b:d914:9f40:93a1",d2pnf75ecrrfjx.cloudfront.net,"ns-236.awsdns-29.com, awsdns-hostmaster.amazon.com","ns-1829.awsdns-36.co.uk, ns-236.awsdns-29.com, ns-737.awsdns-28.net, ns-1409.awsdns-48.org",NOERROR,True,cloudfront,,,,,,
,lifeline-auth-val.cms.gov,"13.225.78.20, 13.225.78.4, 13.225.78.118, 13.225.78.88","2600:9000:21f3:6a00:5:f0d6:4600:93a1, 2600:9000:21f3:2e00:5:f0d6:4600:93a1, 2600:9000:21f3:ce00:5:f0d6:4600:93a1, 2600:9000:21f3:4600:5:f0d6:4600:93a1, 2600:9000:21f3:2200:5:f0d6:4600:93a1, 2600:9000:21f3:3800:5:f0d6:4600:93a1, 2600:9000:21f3:6600:5:f0d6:4600:93a1, 2600:9000:21f3:5400:5:f0d6:4600:93a1",d3v15hulmt7b4o.cloudfront.net,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com","ns-1155.awsdns-16.org, ns-547.awsdns-04.net, ns-62.awsdns-07.com, ns-1685.awsdns-18.co.uk",NOERROR,True,cloudfront,,,,,,
,lifeline-auth.cms.gov,"13.227.219.127, 13.227.219.89, 13.227.219.3, 13.227.219.37","2600:9000:21c7:2000:15:4974:f140:93a1, 2600:9000:21c7:8200:15:4974:f140:93a1, 2600:9000:21c7:3200:15:4974:f140:93a1, 2600:9000:21c7:aa00:15:4974:f140:93a1, 2600:9000:21c7:d000:15:4974:f140:93a1, 2600:9000:21c7:fa00:15:4974:f140:93a1, 2600:9000:21c7:fc00:15:4974:f140:93a1, 2600:9000:21c7:1400:15:4974:f140:93a1",d227dy02p1jqv9.cloudfront.net,"ns-1601.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","ns-1601.awsdns-08.co.uk, ns-390.awsdns-48.com, ns-589.awsdns-09.net, ns-1177.awsdns-19.org",NOERROR,True,cloudfront,,,,,,
,lifeline-test.cms.gov,"54.147.89.59, 54.147.117.206, 52.20.78.179",,d-o3v2vzj0i4.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,lifeline-val.cms.gov,"18.211.146.181, 54.89.206.124, 54.205.201.196",,d-alg0a859oj.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,lifeline.cms.gov,"52.21.9.139, 52.203.84.162, 18.208.64.38, 23.23.150.61, 34.231.192.129, 54.163.83.7",,d-kaw7foezhk.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com","ns-1368.awsdns-43.org, ns-1982.awsdns-55.co.uk, ns-230.awsdns-28.com, ns-543.awsdns-03.net",NOERROR,,,,,,,,
,link.nci.nih.gov,156.40.246.52,,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
,linus.nci.nih.gov,129.43.254.99,2607:f220:41d:21c1::812b:fe63,brb-prod-sg.ha.nci.nih.gov,"ns1.nci.nih.gov, hostmaster.ns1.nci.nih.gov",,NOERROR,,,,,,,,
,linus.niddk.nih.gov,128.231.4.208,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,list.acf.hhs.gov,"35.71.149.132, 52.223.12.11",,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,inbound-smtp.us-east-1.amazonaws.com,,,,
,list.cdc.gov,198.246.99.62,,listserv.cdc.gov,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,v=spf1 ip4:158.111.236.0/24 ip4:158.111.54.0/25 ip4:158.111.190.128/25 ip4:216.58.191.0/24 ip4:208.117.57.153 include:_spf.fireeyegov.com -all,"alt1.us.etp.fireeyegov.com, primary.us.etp.fireeyegov.com, alt2.us.etp.fireeyegov.com, alt3.us.etp.fireeyegov.com",,,,
,list.nih.gov,156.40.55.254,2607:f220:404:10d:156:40:55:254,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,v=spf1 include:nih.gov ~all,"nihcesxwayst04.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst06.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxway4.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxway6.hub.nih.gov, nihcesxwayst03.hub.nih.gov",,,,
,lists.cdc.gov,198.246.99.62,,listserv.cdc.gov,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,v=spf1 ip4:158.111.236.0/24 ip4:158.111.54.0/25 ip4:158.111.190.128/25 ip4:216.58.191.0/24 ip4:208.117.57.153 include:_spf.fireeyegov.com -all,"alt1.us.etp.fireeyegov.com, primary.us.etp.fireeyegov.com, alt3.us.etp.fireeyegov.com, alt2.us.etp.fireeyegov.com",,,,
,livechat.niddk.nih.gov,52.242.124.184,,dkazr-prd-livechat.eastus2.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,,,,,,
,livelink.niaid.nih.gov,128.231.108.103,,cs16-vip.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,livelink.nida.nih.gov,156.40.251.211,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,livertox.niddk.nih.gov,128.231.148.33,2607:f220:417:4201::33,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,livertox.nih.gov,128.231.148.33,2607:f220:417:4201::33,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,livewire2.nih.gov,156.40.71.181,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,llmpp.nih.gov,156.40.34.17,2607:f220:41d:2102::9c28:2211,wye.nci.nih.gov,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
,lms.learning.hhs.gov,168.143.177.44,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,load.medicare.gov,23.208.149.179,"2a02:26f0:3500:598::348, 2a02:26f0:3500:591::348","iservprod.medicare.gov.edgekey.net, e840.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,lobos.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov","ns.nih.gov, ns2.nih.gov, ns3.nih.gov",NOERROR,,,,,,,,
,local-jira-ext.nlm.nih.gov,130.14.16.146,2607:f220:41e:1016::146,,"lhcns1.nlm.nih.gov, nlmdnshostmaster.mail.nih.gov",,NOERROR,,,,,,,,
,localhost.cc.nih.gov,127.0.0.1,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,127.0.0.1,
,localhost.nei.nih.gov,127.0.0.1,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,127.0.0.1,
,localhost.nichd.nih.gov,127.0.0.1,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,127.0.0.1,
,localhost.nih.gov,127.0.0.1,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,127.0.0.1,
,localhost.nlm.nih.gov,127.0.0.1,,,"lhcns1.nlm.nih.gov, nlmdnshostmaster.mail.nih.gov",,NOERROR,,,,,,True,127.0.0.1,
,login.gelato.imp.apitools.ssaws.cms.gov,,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,logs.cms.gov,18.213.200.24,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,loki.niaaa.nih.gov,128.231.251.27,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,loop.nigms.nih.gov,156.40.212.45,2607:f220:404:1002:156:40:212:45,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,loopstage.nigms.nih.gov,"156.40.179.161, 156.40.179.160",2607:f220:419:116:365::107,loopstage.ha.nigms.nih.gov,"ns.ha.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lrnb.cdc.gov,198.246.110.69,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,lrnrv-staging.cdc.gov,198.246.121.148,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,lrnrv.cdc.gov,198.246.121.148,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,lrpmailings.od.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,v=spf1 include:cecollect.com include:od.nih.gov -all,"nihcesxway4.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst06.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxway6.hub.nih.gov, nihcesxway3.hub.nih.gov",,,,
,ltasc.od.nih.gov,137.187.172.102,2607:f220:41a:431c::89bb:ac66,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lucky.nichd.nih.gov,128.231.222.14,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lymphochip.nih.gov,156.40.34.17,2607:f220:41d:2102::9c28:2211,wye.nci.nih.gov,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
,lymphodb.nci.nih.gov,156.40.34.17,2607:f220:41d:2102::9c28:2211,wye.nci.nih.gov,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
,lync-meet.cms.hhs.gov,158.73.247.76,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,lyncdirconpool01.cms.hhs.gov,158.73.247.106,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,lyncdiscover.cdc.gov,52.112.192.14,2603:1027:0:48::21,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",,NOERROR,,,,,,,,
,lyncdiscover.cms.hhs.gov,158.73.247.76,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,lyncdiscover.hrsa.gov,"165.112.15.150, 128.231.125.190",,lyncdiscover.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lyncdiscover.niaid.nih.gov,128.231.153.120,2607:f220:415:3f5::31,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lyncdiscover.nihdev.cit.nih.gov,128.231.125.194,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lyncowafrmb.nih.gov,128.231.125.169,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,lynx.cit.nih.gov,137.187.1.157,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,m-smtp-3.cdc.gov,198.246.97.21,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,m-smtp-7.cdc.gov,"198.246.99.61, 198.246.96.92, 198.246.96.61, 198.246.125.10",,,"ns2.cdc.gov, hostmaster.cdc.gov","icdc-us-ns3.cdc.gov, icdc-us-ns1.cdc.gov, ns2.cdc.gov, ns3.cdc.gov, icdc-us-ns2.cdc.gov, ns1.cdc.gov",NOERROR,,,,,,,,
,m-smtp-ls01.cdc.gov,198.246.99.62,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,m-smtp-3.cdc.gov,,,,
,m.emailupdates.cdc.gov,"52.38.122.70, 52.24.84.233",,cdc-mkt-prod1-xpycz-1765730929.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,m.hivtest.cdc.gov,198.246.116.78,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,m.insurekidsnow.gov,23.48.14.54,"2a02:26f0:1700:387::348, 2a02:26f0:1700:38e::348","iservprod.medicare.gov.edgekey.net, e840.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,m.subscribe.cdc.gov,"100.21.249.124, 52.88.146.200",,cdc-mkt-prod1-ahfw6-738605074.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,m.uat.era.nih.gov,"128.231.69.222, 128.231.69.246","2607:f220:41a:5203:4710:9e0a:c1d2:b420, 2607:f220:41a:5204:a8ad:5be9:8af6:7a06",M-DS-UAT-ERA-NIH-GOV-620145bd536ef663.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,m1crv040.hhs.gov,158.74.50.4,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,m1crv050.hhs.gov,158.74.240.66,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,m1crv250.hhs.gov,158.74.240.43,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,m1csp011.hhs.gov,158.74.242.40,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,m1csv210.hhs.gov,158.74.52.52,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,m1csv520.hhs.gov,158.74.53.106,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,m365servicehealth.cit.nih.gov,156.40.212.184,2607:f220:404:1002:156:40:212:184,officewebapp.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,mac000njp.dpd.cdc.gov,,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,mac877njp.dpd.cdc.gov,158.111.71.180,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,macmgtp.nichd.nih.gov,156.40.90.91,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,macpro-platform-prod.cms.gov,"52.3.107.179, 54.159.234.84, 3.81.153.158",,d-i4uqu3i80d.execute-api.us-east-1.amazonaws.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
