new,host,a,soa,status_code,ns,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],refugees.coursera.org,"52.222.174.18, 52.222.174.15, 52.222.174.103, 52.222.174.9","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],retool.coursera.org,"3.227.30.64, 3.210.76.3","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],rice.coursera.org,"107.21.27.58, 3.95.96.73, 54.173.161.111, 54.160.255.142, 107.23.99.193, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],s3antivirus.corp.coursera.org,"10.100.202.31, 10.100.201.95","ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.100.202.31, 10.100.201.95",,
[x],sandbox.coursera.org,"3.90.124.0, 44.194.252.146","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],servicedesk-dev.corp.coursera.org,149.96.250.5,"edns140.ultradns.com, root.service-now.com",NOERROR,,,,courseradev.service-now.com,,,,,,
[x],servicedesk-sb.corp.coursera.org,149.96.144.23,"edns140.ultradns.com, root.service-now.com",NOERROR,,,,courserasandbox.service-now.com,,,,,,
[x],servicedesk-test.corp.coursera.org,149.96.250.5,"edns140.ultradns.com, root.service-now.com",NOERROR,,,,courseratest.service-now.com,,,,,,
[x],servicedesk.corp.coursera.org,149.96.234.5,"edns140.ultradns.com, root.service-now.com",NOERROR,,,,coursera.service-now.com,,,,,,
[x],share.coursera.org,"52.222.174.103, 52.222.174.18, 52.222.174.9, 52.222.174.15","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
