new,host,a,soa,txt,status_code,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips,aaaa
,investors.gapinc.com,162.159.130.11,"ns-431.awsdns-53.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,webfarm-202.q4web.com,,,,,
,jamfjim.gapinc.com,20.185.79.39,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,jobs.gapinc.com,13.93.158.16,"edns83.ultradns.com, hostmaster.gap.com",gapinc-prod.azurewebsites.net,NOERROR,True,azure,,,,,,
,jpnrfi.gapinc.com,8.18.111.126,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,jpnrfidev.gapinc.com,8.18.111.63,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,jpnrfie2e.gapinc.com,8.18.111.62,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,learngrowlead.gapinc.com,52.22.127.220,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,localhost.email.gapinc.com,127.0.0.1,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,True,127.0.0.1,
,media.gapinc.com,146.75.123.10,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,"cdn.adobeaemcloud.com, adobe-aem.map.fastly.net",,,,,2a04:4e42:8e::778
,mta.email.gapinc.com,68.232.203.140,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,
,myinsights.gapinc.com,52.255.212.181,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,nambdirfi-t.ocaus.gapinc.com,129.213.175.72,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,nambdirfi.ocaus.gapinc.com,150.136.193.110,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,namrfi.gapinc.com,8.18.111.48,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,ns1.gapinc.com,206.16.32.106,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,ns2.gapinc.com,62.7.225.75,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,ocaus.gapinc.com,,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,oci-finbtch-p.ocaus.gapinc.com,132.226.57.111,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,oci-finbtch-s.ocaus.gapinc.com,129.159.76.148,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,oci-finbtch-t.ocaus.gapinc.com,129.159.108.254,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,oci-finrds-d.ocaus.gapinc.com,129.213.69.107,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,oci-finrds-t.ocaus.gapinc.com,129.159.117.212,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,oci-finsrvc-d.ocaus.gapinc.com,193.122.186.175,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,oci-finsrvc-s.ocaus.gapinc.com,150.136.20.161,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,oci-finsrvc-t.ocaus.gapinc.com,193.122.202.152,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,oci-jpncon-d.ocaus.gapinc.com,141.148.68.33,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
