new,host,a,soa,status_code,txt,cdn,cdn-name,mx,ns,cname,aaaa,caa,has_internal_ips,internal_ips
[x],ca500.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca520.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca530.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca54.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca540.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca560.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca580.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca590.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca600.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca601.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca610.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca630.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca650.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ca660.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ca680.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca690.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca700.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca701.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca710.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca720.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca730.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca750.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca760.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca770.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca790.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca800.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ca852.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca940.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca951.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca952.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca953.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca955.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca957.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca960.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca961.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca974.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca976.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ca977.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
