new,host,a,aaaa,cname,soa,status_code,has_internal_ips,internal_ips,ns,cdn,cdn-name,txt,mx,caa,ptr
[x],d69-85.smtp-out.in.paytm.com,175.158.69.85,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-86.smtp-out.in.paytm.com,175.158.69.86,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-87.smtp-out.in.paytm.com,175.158.69.87,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],d69-88.smtp-out.in.paytm.com,175.158.69.88,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-89.smtp-out.in.paytm.com,175.158.69.89,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-90.smtp-out.in.paytm.com,175.158.69.90,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],daaspmm.mypaytm.com,,,internal-daas-pmm-elb-24465350.ap-south-1.elb.amazonaws.com,,NOERROR,,,,,,,,,
[x],dap.paas.paytm.com,103.206.166.36,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],das.paas.paytm.com,103.206.164.12,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dashboard-ite.paytmbank.com,"172.23.72.177, 172.23.72.37",,internal-k8s-eksmwite-ingressi-432ab945fa-1179458583.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.23.72.177, 172.23.72.37",,,,,,,
[x],dashboard-preprod-internal.paytmbank.com,"172.23.72.239, 172.23.72.65",,internal-k8s-eksmwpre-ingressm-601c1f2e48-454136603.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.23.72.239, 172.23.72.65",,,,,,,
[x],dashboard-staging.paytmbank.com,"172.23.72.208, 172.23.72.6",,internal-k8s-eksmwsta-ingressm-dda530a68d-707107570.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.23.72.208, 172.23.72.6",,,,,,,
[x],dashboard.paytm.com,23.222.64.188,,"dashboard.paytm.com.edgekey.net, e14818.j.akamaiedge.net","n0j.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dashboard.paytmbank.com,23.201.245.180,"2a02:26f0:3500:585::1957, 2a02:26f0:3500:58b::1957","dashboard.paytmbank.com.edgekey.net, e6487.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],data-dd.gamepind.com,3.109.27.30,,pfgc-data-api-internet-fadce83c3b419c27.elb.ap-south-1.amazonaws.com,"ns-1316.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],databook-dev.mypaytm.com,"172.21.60.221, 172.21.60.241",,internal-daas-devops-all-app-alb-1542792226.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.60.221, 172.21.60.241","ns-1498.awsdns-59.org, ns-1568.awsdns-04.co.uk, ns-329.awsdns-41.com, ns-836.awsdns-40.net",,,,,,
[x],datalake-artifactory.mypaytm.com,,,internal-tf-lb-20190305165214137300000001-1223986339.ap-south-1.elb.amazonaws.com,,NOERROR,,,,,,,,,
[x],datalake-stg.mypaytm.com,"172.21.3.6, 172.21.3.19",,dataset-ui-stg.ap-south-1.elasticbeanstalk.com,"ns-1320.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.3.6, 172.21.3.19",,,,,,,
[x],datalake.mypaytm.com,"172.21.3.14, 172.21.3.10",,dataset-ui-prod.ap-south-1.elasticbeanstalk.com,"ns-1320.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.3.14, 172.21.3.10",,,,,,,
[x],dbt-origin-dc.paytmbank.com,103.155.0.54,,,"ns-361.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dcmsuat.paytmbank.com,10.100.175.201,,,"ns-361.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,True,10.100.175.201,,,,,,,
[x],de.gamepind.com,,,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dehleez-prod.mypaytm.com,"172.21.1.35, 172.21.1.207",,internal-din-devops-all-app-alb-1749014259.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.1.35, 172.21.1.207",,,,,,,
[x],delivery.info.paytm.com,34.117.197.73,,elnk.netcorecloud.net,"ns11.constellix.com, dns.constellix.com",NOERROR,,,,True,google,"v=spf1 exists:%{ir}._spf.netcorecloud.net -all, google-site-verification=FKMDT_I-lhCBr2ALalsR5RyhdfeyxSb1F673mZ9KF2o",bounceapi.netcorecloud.net,,
[x],delivery.paytmbank.com,34.117.197.73,,elnk.netcorecloud.net,"ns11.constellix.com, dns.constellix.com",NOERROR,,,,True,google,"v=spf1 exists:%{ir}._spf.netcorecloud.net -all, google-site-verification=FKMDT_I-lhCBr2ALalsR5RyhdfeyxSb1F673mZ9KF2o",bounceapi.netcorecloud.net,,
