new,host,a,soa,ns,status_code,aaaa,cname,mx,txt
[x],api-doc.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, pns12.cloudns.net, ns13.cloudns.net, ns14.cloudns.net, ns11.cloudns.net, ns12.cloudns.net, pns14.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],api-m-v2.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, pns14.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],api-private-private.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns11.cloudns.net, ns12.cloudns.net, ns14.cloudns.net, pns12.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, pns13.cloudns.net, pns14.cloudns.net",NOERROR,,,,
[x],api-siri-ause1a.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, pns12.cloudns.net, ns13.cloudns.net, ns11.cloudns.net, ns14.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],api-siri-use2b.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, pns12.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],api-sonic332-38.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],api-swfbtesting.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],api-user-temp-int-database-officebackups-domain.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],apiaccount-mijn-new-corp.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, pns13.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, pns14.cloudns.net, ns14.cloudns.net, pns12.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],apiauths3data.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],apiconfig-private-private.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],apicontroller-new-corp.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],apimirror-my-oceania.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, ns12.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, pns11.cloudns.net, ns14.cloudns.net, pns14.cloudns.net, ns11.cloudns.net",NOERROR,,,,
