new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],www.europe.priceless.com,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.investmentmojo.com,52.58.78.16,,"pdns05.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,
[x],www.mastercard-lounge.cz,3.33.139.32,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],www.mastercard.co.za,104.81.96.127,"www.mastercard.co.za.edgekey.net, e13126.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.mastercard.com,23.206.80.176,"www.mastercard.com.edgekey.net, www.mastercard.com.edgekey.net.globalredir.akadns.net, e78.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.mastercard.com.br,104.102.46.157,"www.mastercard.com.br.edgekey.net, e13126.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.mastercardbiz.ca,,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,v=spf1 ip4:162.209.55.174 -all,,,
[x],www.no-minimums.com.au,,no-minimums.com.au,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,"dns1.mastercard.com, dns2.mastercard.com, a1-29.akam.net, a7-67.akam.net, a9-64.akam.net, a18-64.akam.net, a22-65.akam.net, a26-66.akam.net",v=spf1 include:deliverygateways.mastercard.com ~all,,,
[x],www.optimization.mastercard.com,23.45.239.49,"www.optimization.mastercard.com.edgekey.net, e5188.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.pl.priceless.com,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.priceless.com,"18.158.98.110, 18.198.133.36",,"ns-1632.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-12.awsdns-01.com, ns-1508.awsdns-60.org, ns-1632.awsdns-12.co.uk, ns-699.awsdns-23.net",,,,
[x],www.pricelessspecials.nl,"104.126.37.146, 104.126.37.138","www.pricelessspecials.nl.edgekey.net, e37358.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.pricelesssurprises.com,"95.101.111.133, 95.101.111.184","www.pricelesssurprises.com.edgekey.net, e37358.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.privileges.mastercard.com.au,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.src.mastercard.com,"104.126.37.154, 104.126.37.146","www.src.mastercard.com.edgekey.net, e27656.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.stage.mastercard.com,23.212.203.78,"www.stage.mastercard.com.edgekey.net, e5081.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.summergame.priceless.com,216.119.216.188,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.taptotokyo.com,3.33.139.32,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],www.unsubscriberus.priceless.com,178.159.249.153,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.ve.priceless.com,,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www1.mastercard.com,2.23.135.121,"www1.mastercard.com.edgekey.net, e5188.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www1.mastercard.com.au,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],xmpp.mastercard.com,"216.119.215.40, 216.119.215.43",,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
,apply.gomastercard.com.au,107.154.114.166,fvgt3.x.incapdns.net,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,True,incapsula,,,,,,
,email2.gomastercard.com.au,12.130.131.126,,"a13-67.akam.net, dnsadmin.responsys.com",NOERROR,,,imh.interact2.origin.responsys.ocs.oraclecloud.com,"a1-31.akam.net, a12-67.akam.net, a13-67.akam.net, a16-65.akam.net, a2-66.akam.net, a9-64.akam.net","v=spf1 ip4:12.130.136.0/22 ip4:12.130.153.0/24 ip4:12.130.154.0/24 -all, google-site-verification=3OVy56T6Nl99CE2f_-d-mxny2v--XK5ICRQ3kLcM1Qc",,,
,gomastercard.com.au,"52.65.87.111, 13.211.196.17, 13.210.176.69",,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
,hn.gomastercard.com.au,203.47.114.60,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
,m.apply.gomastercard.com.au,149.126.77.215,m5qs7.x.incapdns.net,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,True,incapsula,,,,,,
,privacy.gomastercard.com.au,3.124.173.63,"gecapitalau.edge.nc0.co, edge-geo.nc0.co","ns-1332.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,stat.gomastercard.com.au,"63.140.62.164, 63.140.62.160, 63.140.62.135",gomastercard.com.au.112.2o7.net,"ns201.adobe.net, dnsadmin.omniture.com, hostmaster.adobe.com",NOERROR,,,,,,,,
,stats.gomastercard.com.au,"63.140.36.101, 63.140.36.14, 63.140.36.119, 63.140.36.148, 63.140.36.121, 63.140.36.112, 63.140.36.104, 63.140.36.138, 63.140.36.117, 63.140.36.139","gomastercard.com.au.102.112.2o7.net, data.102.112.2o7.net","ns201.adobe.net, dnsadmin.omniture.com",NOERROR,,,,,,,,
,verify.gomastercard.com.au,117.53.171.115,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
,www.gomastercard.com.au,,gomastercard.prod.digitalweb.lfscnp.com,"ns-2042.awsdns-63.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
