new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx,caa
,smbfile.lenovo.com.cn,"101.226.27.237, 101.226.27.238, 101.226.27.239, 101.226.27.240, 101.226.27.233, 101.226.27.234, 101.226.27.235, 101.226.27.236","ns3.alikunlun.com, root.taobao.com",NOERROR,smbfile.lenovo.com.cn.w.alikunlun.com,,,,,,,,,
,smbsolutions.lenovo.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,der5y0cfx1sy6.cloudfront.net,,,,,,,,,
,smmp.lenovo.com,120.133.59.14,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smp.ciot.lenovo.com,,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smsc.lenovo.com,104.111.216.219,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"smsc.lenovo.com.edgekey.net, e7741.dscx.akamaiedge.net",,,"2a02:26f0:1700:383::1e3d, 2a02:26f0:1700:394::1e3d",,,,,,
,smtestalipublic.lenovo.com.cn,39.103.13.203,"vip1.alidns.com, hostmaster.hichina.com",NOERROR,smtestalipublic.lenovopcsd.com,,,,,,,,,
,smtp.cube.lenovo.com,58.215.167.12,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smtp.idmail.lenovo.com,223.202.19.104,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smtp.lenovo.com,146.196.114.55,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smv-altek-uat.motorola.com,"144.188.128.106, 144.188.129.106","il93m-il12.mot-mobility.com, hostmaster.il93m-il12.mot-mobility.com",NOERROR,usa-motorola-10.fweb.motorolamobility.com,,,,,,,,,
,snpm.lenovo.com,52.89.160.171,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,so.lenovo.com.cn,47.95.0.66,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,so.mbgcdn.lenovo.com.cn,,,,,,,,,
,so.mbgcdn.lenovo.com.cn,47.95.0.66,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,,,,,,,,,,
,soa-de.lenovo.com,"3.127.157.192, 52.59.173.221","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,prd-wso2-7487052.eu-central-1.elb.amazonaws.com,,,,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,,,,
,soa.gtm.lenovo.com,103.244.56.157,,NOERROR,,,,,,,,,,
,soa.lenovo.com,103.244.56.157,,NOERROR,soa.gtm.lenovo.com,,,,,,,,,
,soaus-test.lenovo.com,34.197.69.120,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,wso2-tst-264afe54b6aa7ffb.elb.us-east-1.amazonaws.com,,,,,,,,,
,software.lenovo.com.cn,43.255.226.106,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,softwaredownload.lenovo.com,20.41.59.104,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,"prod-digitallocker-lenovo-us.arvato-us.com, prod-digitallocker-lenovo-us.trafficmanager.net, eu2-prd-appgw-v2-02.eastus2.cloudapp.azure.com",True,azure,,,,,,,
,softwaredownloadww.lenovo.com,20.41.59.104,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,"prod-digitallocker-lenovo-row.arvato-us.com, prod-digitallocker-lenovo-row.trafficmanager.net, eu2-prd-appgw-v2-02.eastus2.cloudapp.azure.com",True,azure,,,,,,,
,sol.lenovo.com,146.196.114.165,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,sol.lenovo.com.cn,163.171.128.148,"dns1.wswebcdn.org, webmaster.glb0.lxdns.com",NOERROR,sol.lenovo.com.cn.wswebcdn.com,,,,,,,,,
,soluat.lenovo.com,146.196.114.168,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,solutions.lenovo.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,solutions.lenovo.com.cdn.cloudflare.net,,,,,,,,,
,solutions.lenovo.com.cn,192.168.0.1,"ns3.nameserver.xin, chengyusheng.gmail.com, ns2.nameserver.xin, ns1.nameserver.xin",NOERROR,solutions.ysc.hk,,,,,True,192.168.0.1,,,
,speedtest.lenovo.com.cn,"60.205.150.92, 47.94.15.228","vip3.alidns.com, hostmaster.hichina.com",NOERROR,speedtest.mbgcdn.lenovo.com.cn,,,,,,,,,
,spf.pfpool.lenovo.com,,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,v=spf1 ip4:103.30.235.218 ip4:103.30.235.219 ip4:103.30.235.220 ip4:103.30.235.221 ip4:104.232.228.21 ip4:104.232.228.22 ip4:104.232.228.23 ip4:104.232.228.24 ip4:144.188.128.67 ip4:144.188.128.68,,
,spokenenglish.smartedu.lenovo.com,"69.234.233.153, 52.83.127.18","ns-3992.awsdns-cn-57.cn, awsdns-hostmaster.amazon.com",NOERROR,smarteduprod1-internet-nlb-c5e7fb2cae10593e.elb.cn-northwest-1.amazonaws.com.cn,,,,,,,,,
