new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,mx,caa
[x],ecacs.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 52.201.30.58, 18.233.174.39",,,,,,,,,
[x],energytransferparent.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 18.233.174.39, 52.201.30.58",,,,,,,,,
[x],eskimosteel.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.233.174.39, 44.196.170.71, 52.201.30.58",,,,,,,,,
[x],eu1.my.auvik.com,"ns-167.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,"99.86.4.115, 99.86.4.124, 99.86.4.58, 99.86.4.82",,"ns-167.awsdns-20.com, ns-597.awsdns-10.net, ns-1388.awsdns-45.org, ns-1597.awsdns-07.co.uk",True,cloudfront,,,,,
[x],eu2.my.auvik.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.222.139.15, 52.222.139.14, 52.222.139.24, 52.222.139.23",,"ns-1251.awsdns-28.org, ns-1729.awsdns-24.co.uk, ns-337.awsdns-42.com, ns-696.awsdns-23.net",True,cloudfront,,,,,
[x],evnmz.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 44.196.170.71, 18.233.174.39",,,,,,,,,
[x],fammedassoc.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.233.174.39, 44.196.170.71, 52.201.30.58",,,,,,,,,
[x],ffice.us1.stage.auvik.com,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=us1-stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"54.163.138.40, 3.216.182.25, 75.101.240.151",,,,,,,,,
[x],ffice.us2.my.auvik.com,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.97.123, 18.66.97.43, 18.66.97.111, 18.66.97.51",,,True,cloudfront,,,,,
[x],forwarder.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=my-auvik-com,external-dns/resource=service/syslog/forwarder",NOERROR,"54.226.216.24, 34.199.170.186",,,,,,,,,
[x],forwarder.stage.auvik.com,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=stage-auvik-com,external-dns/resource=service/syslog/forwarder",NOERROR,"18.207.68.200, 54.209.113.156, 52.70.236.80",,,,,,,,,
[x],fosk.eu2.my.auvik.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.222.139.24, 52.222.139.14, 52.222.139.23, 52.222.139.15",,"ns-1251.awsdns-28.org, ns-1729.awsdns-24.co.uk, ns-337.awsdns-42.com, ns-696.awsdns-23.net",True,cloudfront,,,,,
[x],foskhq.eu2.my.auvik.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.165.242.22, 18.165.242.107, 18.165.242.39, 18.165.242.115",,"ns-1251.awsdns-28.org, ns-1729.awsdns-24.co.uk, ns-337.awsdns-42.com, ns-696.awsdns-23.net",True,cloudfront,,,,,
[x],fsdkim.auvik.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:sendgrid.net ip4:3.222.0.24/29 ip4:3.120.181.200/29 ip4:3.7.25.40/29 ip4:3.25.47.0/29 ~all,NOERROR,,spfmx3.domainkey.freshemail.io,,,,,,,"mxb.freshdesk.com, mx.sendgrid.net, mxa.freshdesk.com",
[x],ga.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 18.233.174.39, 52.201.30.58",,,,,,,,,
[x],gencyre.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 18.233.174.39, 44.196.170.71",,,,,,,,,
[x],genesissis.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 44.196.170.71, 18.233.174.39",,,,,,,,,
[x],genesissys.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 52.201.30.58, 18.233.174.39",,,,,,,,,
[x],gmhmanagement.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 18.233.174.39, 52.201.30.58",,,,,,,,,
[x],go.auvik.com,"ns1.marketo.com, ops.localhost",,NOERROR,"104.17.71.206, 104.17.70.206, 104.17.72.206, 104.17.73.206, 104.17.74.206",mkto-ab080237.com,"ns1.marketo.com, ns2.mktdns.com",True,cloudflare,,,,,
[x],gsmle.us2.my.auvik.com,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.97.123, 18.66.97.51, 18.66.97.43, 18.66.97.111",,,True,cloudfront,,,,,
[x],h-135-197-241-66.stage.auvik.com,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"52.204.55.237, 54.205.235.146, 52.72.83.66",,,,,,,,,
