new,host,a,soa,status_code,ns,cname,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],arlochunks-z4-goldenqa.arlo.com,"13.224.189.113, 13.224.189.119, 13.224.189.126, 13.224.189.78","ns-634.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-405.awsdns-50.com, ns-634.awsdns-15.net, ns-1424.awsdns-50.org, ns-1910.awsdns-46.co.uk",d3nr3mqnhgn9k5.cloudfront.net,True,cloudfront,,"2600:9000:20eb:4000:14:79d:940:93a1, 2600:9000:20eb:5a00:14:79d:940:93a1, 2600:9000:20eb:7800:14:79d:940:93a1, 2600:9000:20eb:a200:14:79d:940:93a1, 2600:9000:20eb:ae00:14:79d:940:93a1, 2600:9000:20eb:f800:14:79d:940:93a1, 2600:9000:20eb:1a00:14:79d:940:93a1, 2600:9000:20eb:1e00:14:79d:940:93a1",,,
[x],arlochunks-z4-prod.arlo.com,"18.65.39.96, 18.65.39.69, 18.65.39.21, 18.65.39.126","ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1080.awsdns-07.org, ns-1662.awsdns-15.co.uk, ns-498.awsdns-62.com, ns-639.awsdns-15.net",dz5sampbbl6td.cloudfront.net,True,cloudfront,,"2600:9000:238d:1c00:b:687:3040:93a1, 2600:9000:238d:d000:b:687:3040:93a1, 2600:9000:238d:3a00:b:687:3040:93a1, 2600:9000:238d:4c00:b:687:3040:93a1, 2600:9000:238d:8a00:b:687:3040:93a1, 2600:9000:238d:5e00:b:687:3040:93a1, 2600:9000:238d:d600:b:687:3040:93a1, 2600:9000:238d:6000:b:687:3040:93a1",,,
[x],arlochunks-z5-goldenqa.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],arlocommon.arlo.com,"108.157.214.128, 108.157.214.39, 108.157.214.36, 108.157.214.71","ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-822.awsdns-38.net, ns-1187.awsdns-20.org, ns-1850.awsdns-39.co.uk, ns-394.awsdns-49.com",d3pbyx5crcw8ip.cloudfront.net,True,cloudfront,,,,,
[x],arlocs-goldendev-canary.arlo.com,54.229.159.118,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocs-goldendev-canary-742624932.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlocs-goldendev.arlo.com,34.251.68.6,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net","arlocs-goldendev.ar.arlo.com, arlocs-goldendev-334937498.eu-west-1.elb.amazonaws.com",,,,,,,
[x],arlodealer-goldendev-canary.arlo.com,,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,docusign=90b68d29-8344-40b1-ab31-998cb40114d2,,,,
[x],arlodevice03-goldenqa.messaging.arlo.com,54.154.54.197,"pdns88.ultradns.com, mshah.netgear.com",NOERROR,,,,,,,,,
[x],arlogoldenchunks-z1-dev.arlo.com,"13.32.99.92, 13.32.99.123, 13.32.99.113, 13.32.99.37","ns-286.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-908.awsdns-49.net, ns-1030.awsdns-00.org, ns-1669.awsdns-16.co.uk, ns-286.awsdns-35.com",dy7hceifqs0jv.cloudfront.net,True,cloudfront,,"2600:9000:2251:ec00:16:ad21:f2c0:93a1, 2600:9000:2251:4000:16:ad21:f2c0:93a1, 2600:9000:2251:3e00:16:ad21:f2c0:93a1, 2600:9000:2251:b600:16:ad21:f2c0:93a1, 2600:9000:2251:fa00:16:ad21:f2c0:93a1, 2600:9000:2251:b400:16:ad21:f2c0:93a1, 2600:9000:2251:8000:16:ad21:f2c0:93a1, 2600:9000:2251:f000:16:ad21:f2c0:93a1",,,
[x],arlogoldenchunks-z2-dev.arlo.com,"65.9.66.104, 65.9.66.24, 65.9.66.34, 65.9.66.32",,NOERROR,,d26vir8q7ktphk.cloudfront.net,True,cloudfront,,"2600:9000:206f:c00:8:1f35:9200:93a1, 2600:9000:206f:6400:8:1f35:9200:93a1, 2600:9000:206f:2c00:8:1f35:9200:93a1, 2600:9000:206f:2200:8:1f35:9200:93a1, 2600:9000:206f:7400:8:1f35:9200:93a1, 2600:9000:206f:6200:8:1f35:9200:93a1, 2600:9000:206f:400:8:1f35:9200:93a1, 2600:9000:206f:5a00:8:1f35:9200:93a1",,,
[x],arlogoldenchunks-z3-dev.arlo.com,"18.66.97.93, 18.66.97.121, 18.66.97.73, 18.66.97.48","ns-732.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-280.awsdns-35.com, ns-732.awsdns-27.net, ns-1338.awsdns-39.org, ns-1797.awsdns-32.co.uk",d1brkk48ot3v15.cloudfront.net,True,cloudfront,,"2600:9000:223c:9a00:11:4bb7:3640:93a1, 2600:9000:223c:6400:11:4bb7:3640:93a1, 2600:9000:223c:c200:11:4bb7:3640:93a1, 2600:9000:223c:ee00:11:4bb7:3640:93a1, 2600:9000:223c:3a00:11:4bb7:3640:93a1, 2600:9000:223c:0:11:4bb7:3640:93a1, 2600:9000:223c:f400:11:4bb7:3640:93a1, 2600:9000:223c:e000:11:4bb7:3640:93a1",,,
[x],arlogoldenchunks-z4-dev.arlo.com,"52.85.132.80, 52.85.132.127, 52.85.132.121, 52.85.132.99, 205.251.192.170, 205.251.195.178, 205.251.196.85, 205.251.198.134","ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-946.awsdns-54.net, ns-1109.awsdns-10.org, ns-1670.awsdns-16.co.uk, ns-170.awsdns-21.com",d3krtjdw0tdnq6.cloudfront.net,True,cloudfront,,"2600:9000:2073:1800:17:eccd:9780:93a1, 2600:9000:2073:c800:17:eccd:9780:93a1, 2600:9000:2073:3400:17:eccd:9780:93a1, 2600:9000:2073:1600:17:eccd:9780:93a1, 2600:9000:2073:6c00:17:eccd:9780:93a1, 2600:9000:2073:2400:17:eccd:9780:93a1, 2600:9000:2073:e200:17:eccd:9780:93a1, 2600:9000:2073:5000:17:eccd:9780:93a1",,,
